latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8604000;48600;3085.93125;4445.58295454545;3251.98522727273;3242.1;4302.24147727273;3047.46590909091;1858.25511363636;199.428701054707
-8676450;199800;3236.8935128519;4311.16279069767;3369.2933496532;3385.05834353325;4200.21827825377;3137.72827417381;1920.89106487148;195.955034630808
-8664750;243000;3182.04094244882;4264.39513325608;3304.60872923909;3328.96716879104;4163.27539590576;3072.1954422557;1881.78061027424;196.826000224955
-8563950;162450;3830.64285714286;4653.6017699115;3974.10556257901;3906.00948166877;4485.56637168142;3209.36536030341;1985.26295828066;234.205981661902
-8666550;201600;3399.87469287469;4427.78583128583;3528.46027846028;3544.89885339885;4321.23546273546;3239.43161343161;1993.50941850942;195.920206095346
-8658450;254250;3094.75539291217;4243.86402157165;3224.50231124807;3249.28697996918;4148.81317411402;3018.49152542373;1827.10130970724;196.402361141978
-8676000;190800;3309.88552467856;4329.29614267939;3437.09124844463;3452.65864786396;4254.96225632518;3175.04437992534;1956.34218166736;196.600643683542
-8667000;175950;3166.67931169339;4524.03050449746;3306.66562377786;3336.40007821666;4379.44622604615;3174.8936253422;1887.74032068831;195.025281275459
-8647200;145350;3145.05125240848;4514.55452793834;3212.84624277457;3268.30289017341;4499.7753371869;3273.40655105973;2036.9267822736;226.381201485068
-8731350;137250;3358.15471698113;4447.38322851153;3526.19329140461;3507.53710691824;4323.56687631027;3281.61886792453;2030.89308176101;195.685930105116
-8666550;120150;3183.09106984969;4313.16622458002;3245.09106984969;3281.22281167109;4345.76657824934;3185.216622458;2013.70380194518;234.671216463099
-8721000;129600;3609.88700045935;4588.02250803859;3741.48231511254;3748.87092328893;4459.55718879192;3343.84749655489;2066.89343132751;196.588504413277
-8740800;175950;3399.17550857599;4637.1595532509;3561.37215795772;3558.14479457519;4524.08097327483;3380.85440765856;2102.15596330275;197.401087325798
-8716500;207000;3233.53627639155;4521.82034548944;3376.40230326296;3390.57850287908;4314.92744721689;3168.33128598848;1945.80882917466;196.587601366094
-8626050;201600;3024.09249628529;4454.69279346211;3107.33766716196;3167.91716196137;4389.12741456166;3155.37221396731;1879.0014858841;201.880467455075
-8679600;253350;3250.12933496532;4469.29498164015;3379.81395348837;3406.26764585883;4337.47531619747;3150.31619747042;1911.33659730722;196.228047771239
-8620650;183600;3315.82007168459;4579.86308243728;3308.75913978495;3429.81326164875;4596.54157706093;3434.27956989247;2095.51182795699;219.224688884387
-8570250;160650;3477.4072265625;4616.75048828125;3574.67578125;3579.1875;4529.8515625;3231.36962890625;1981.0498046875;233.628613754486
-8666100;134550;3645.54358974359;4689.61958041958;3745.4675990676;3761.81072261072;4554.79673659674;3317.82937062937;2097.80699300699;220.229079944114
-8603550;101250;3599.40627279358;4490.46827133479;3749.49671772429;3702.412837345;4312.19547775346;3020.28446389497;1846.11086797958;226.830905016412
-8783550;182250;3400.38399661304;4605.0033869602;3516.62235393734;3552.27646062659;4458.6083827265;3341.61092294666;2130.87214225233;200.527466138165
-8612550;208800;2380.68297520661;4120.02545454545;2420.48892561983;2532.76925619835;4143.7867768595;2884.40330578512;1653.04958677686;217.671741138964
-8613000;58950;3765.32300884956;4751.83539823009;3916.6389380531;3896.44601769912;4597.5017699115;3250.51150442478;1989.88495575221;209.982431184469
-8680950;248850;3237.185998343;4431.51367025684;3360.36205468103;3391.1975973488;4313.96106048053;3129.89975144988;1902.19594034797;196.662143870051
-8766450;189450;3467.61139674379;4751.27120822622;3605.16195372751;3628.00257069409;4564.46015424164;3403.88946015424;2117.3646101114;197.459014079673
-8685450;270450;3294.5521046179;4657.09440130772;3414.35063342869;3459.07396812423;4515.6873722926;3235.22762566408;1938.8173273396;196.249025302286
-8596350;90000;4162.06060606061;4810.39285714286;4325.4696969697;4253.07792207792;4615.57034632035;3368.09632034632;2123.22619047619;224.170677795399
-8678250;124200;3363.99437716263;4504.7365916955;3454.53330449827;3479.59169550173;4418.14057093426;3222.72275086505;2030.13884083045;222.661338649405
-8727750;184950;3357.47646830027;4705.91559704395;3527.53831194088;3521.756126021;4548.79852197588;3356.95527032283;2055.1474134578;196.563953319834
-8662500;135450;3212.3432165319;4375.53504043127;3327.77852650494;3334.94474393531;4328.32659478886;3085.09389038634;1924.92991913747;224.758555554448
-8597700;77400;3760.26037195994;4789.55150214592;3914.26251788269;3892.71602288984;4598.07510729614;3305.07939914163;2050.97424892704;205.623272135795
