latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8616600;171450;2042.99239543726;3260.17870722433;2016.16730038023;2151.50950570342;3415.66539923954;2644.65779467681;1599.96197718631;213.50711276761
-8682750;124200;2747.8025751073;4254.96137339056;2841.90128755365;2888.4635193133;4043.87982832618;2815.14592274678;1673.39484978541;206.273870295451
-8710650;115200;2763.56;4223.52888888889;2866.52;2920.92;4091.32;2797.73777777778;1657.67111111111;203.96857883911
-8718300;116550;3133.40579710145;4270.4347826087;3238.35265700483;3277.96618357488;4151.35748792271;2943.37198067633;1823.71497584541;203.907926488453
-8577450;142200;3631.52760736196;4587.71779141104;3789.44785276074;3741.15950920245;4441.37423312883;3096.44171779141;1976.29447852761;233.147929277141
-8748450;187200;2957.36286919831;4473.14767932489;3082.55274261603;3128.3164556962;4206.84810126582;3039.9029535865;1881.75105485232;195.082067039202
-8716050;125100;2993.23720930233;4593.13488372093;3085.37209302326;3172.03720930233;4420.43720930233;3024.18139534884;1747.31627906977;199.190739855199
-8677800;206100;2822.33050847458;4115.04237288136;2887.56779661017;2953.08050847458;3992.45338983051;2850.92372881356;1724.11016949153;205.978875506525
-8658900;133200;3618.94805194805;4671.2012987013;3746.76623376623;3745.15584415584;4522.86363636364;3147.57792207792;1967.38961038961;224.819630703028
-8574300;180900;3424.1712962963;4767.55555555556;3500.49074074074;3566.09259259259;4667.11111111111;3386.59259259259;2100.76388888889;211.498985411548
-8702100;248400;2666.11538461538;4500.89743589744;2779.88888888889;2848.34188034188;4318.67094017094;2910.21367521368;1706.61538461538;203.512779171151
-8715600;170100;2875.46025104602;4252.52719665272;2980.22594142259;3033.30125523013;4051.26778242678;2966.99163179916;1812.4309623431;196.373658543117
-8582850;167850;2655.49790794979;4178.89121338912;2724.92050209205;2785.34728033473;4113.53138075314;2873.11715481172;1746.0460251046;225.446375818664
-8636850;179100;3854.58252427184;5127.42718446602;3950.29126213592;4002.35436893204;4927.24757281553;3526;2157.18932038835;205.331649260628
-8752950;259200;2605.82352941176;3236.66515837104;2742.59728506787;2755.86425339366;3058.49773755656;2320.79185520362;1524.15837104072;201.091570368953
-8738550;162000;2668.86098654709;4428.81165919282;2767.31390134529;2855.99551569507;4293.54708520179;3073.10313901345;1836.34529147982;196.433391382039
-8619300;103950;3433.25388601036;4496.73575129534;3589.0829015544;3545.42487046632;4309.68393782383;2987.46632124352;1863.40932642487;229.906952049419
-8722350;136350;2846.5670995671;4209.33333333333;2961.71428571429;3012.21212121212;4044.64935064935;2898.90476190476;1731.22943722944;195.860578104843
-8638200;221850;3156.74025974026;4556.15584415584;3265.14718614719;3324.85714285714;4384.25974025974;3061.63203463203;1820.5367965368;197.464203441638
-8649000;164700;3205.78481012658;4479.43459915612;3307.44303797468;3345.47679324895;4374.51476793249;3129.81012658228;1929.70042194093;207.831663651914
-8631000;106650;3199.55172413793;5010.25123152709;3295.53201970443;3364.13300492611;4686.7684729064;3304.15763546798;2023.27586206897;203.592671071933
-8737200;135900;2960.93191489362;4298.0170212766;3075.96170212766;3117.95319148936;4113.41276595745;2998.71914893617;1809.92765957447;188.169701312807
-8583750;73350;3022.42675159236;4200.35668789809;3189.52229299363;3170.17197452229;4026.25477707006;2866.68789808917;1775.87898089172;199.919296039288
-8695350;119700;3117.5;4321.93689320388;3223.98058252427;3259.1213592233;4105.28640776699;2957.95145631068;1800.31553398058;199.43570912241
-8690850;259200;2753.99563318777;4470.03930131004;2821.15720524017;2928.94323144105;4231.2576419214;3031.69868995633;1794.55458515284;195.322811677524
-8622450;113850;2908.20833333333;4020.7037037037;2951.23148148148;3008.28703703704;4077.31944444444;2981.00462962963;1870.55555555556;228.754480657245
-8666100;95400;3623.91975308642;4906.3950617284;3659.66666666667;3741.94444444444;4878.40740740741;3497.64197530864;2182.82098765432;237.320138644753
-8665200;253800;2848.51694915254;4169.77966101695;2917.16101694915;3001.61440677966;4048.49576271186;2911.94915254237;1775.48728813559;200.93688747227
-8683650;171450;2686.38596491228;4114.00438596491;2784.19736842105;2851.74122807018;3990.44736842105;2778.88157894737;1689.30701754386;201.727395171495
-8655750;140400;3461.73;4634.335;3550.165;3584.975;4556.08;3273.735;2075.69;227.390910420954
-8742600;205200;2490.37295081967;3795.11885245902;2584.33196721311;2649.66803278689;3550.18032786885;2520.98360655738;1579.09016393443;201.000204505801
-8611650;144900;2854.60633484163;4463.45248868778;2897.34841628959;2993.25791855204;4378.86425339367;3117.94117647059;1893.01809954751;219.969039424695
-8670150;259200;2673.20353982301;4070.06637168142;2746.53539823009;2830.13274336283;3976.50442477876;2797.59734513274;1697.32743362832;202.580910178279
-8774550;178200;2894.70535714286;4494.55357142857;2988.39732142857;3066.75892857143;4256.53571428571;3002.20089285714;1819.23214285714;198.333628778815
-8731800;179550;2914.91631799163;4487.0920502092;3032.3640167364;3090.46861924686;4303.72384937239;3050.22175732218;1837.4769874477;196.486540312916
-8695800;115650;3025.71111111111;4296.01333333333;3091.59111111111;3146.52888888889;4171.53777777778;2933.41777777778;1811.60888888889;213.288651970252
-8763750;196650;2945.2735426009;3563.99551569507;3068.06726457399;3082.31390134529;3468.76233183856;2595.51121076233;1696.30044843049;201.477183508049
-8685000;276300;2738.53240740741;4376.17592592593;2806.43518518519;2927.25925925926;4199.73611111111;2880.96296296296;1696.75925925926;199.658137000704
-8655750;236250;2606.2;3959.92653061224;2693.28163265306;2766.31428571429;3877.16734693878;2748.5387755102;1680.83265306122;201.618514628739
-8622450;82800;3853.15328467153;4630.0802919708;3975.24817518248;3947.16788321168;4478.5401459854;3254.87591240876;2117.26277372263;231.923585288196
-8622900;142200;2933.10091743119;4500.99082568807;2984.30733944954;3075.38990825688;4425.70642201835;3099.86697247706;1923.19266055046;226.483966574206
-8740350;203400;2782.536;4228.864;2870.308;2940.696;3988.204;2840.448;1753.04;200.796076922975
-8607600;141300;2958.3820754717;4410.32075471698;3024.17924528302;3096.97169811321;4298.79716981132;3069.02830188679;1875.57547169811;211.498568408739
-8630550;180450;3686.20796460177;5034.06637168142;3759.17699115044;3831.3982300885;4894.29646017699;3483.16371681416;2122.23008849558;213.71438515915
-8722350;220950;2796.40350877193;4465.78947368421;2908.68421052632;2968.70614035088;4343.2149122807;2968.85526315789;1805.65789473684;209.027970069659
-8707050;121500;3448.37142857143;4891.1380952381;3500.4;3602.98095238095;4625.24761904762;3314.2;2002.42380952381;199.197049229641
-8599500;136350;3154.61691542289;4611.67661691542;3211.4776119403;3280.50746268657;4452.07462686567;3240.98507462687;2023.37810945274;218.585659485491
-8555850;150300;3839.6976744186;4705.27906976744;3937.31395348837;3940.06976744186;4240.48837209302;3073.74418604651;1845.20930232558;201.857314878947
-8597250;108450;3968.43333333333;4715.55;4103.11666666667;4070.95833333333;4498.16666666667;3255.31666666667;2021.44166666667;215.409151311936
-8734500;189450;2904.21224489796;4566.41632653061;3030.50204081633;3084.7387755102;4340.52653061224;3053.01224489796;1830.21224489796;196.221215944241
