latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8623350;156150;2280.6468401487;3792.25650557621;2215.87360594796;2360.46096654275;3998.62081784387;2978.63568773234;1799.70260223048;235.551157880495
-8648550;142650;2555.48780487805;4196.58943089431;2593.65853658537;2672.80081300813;4340.64227642276;3087.69512195122;1856.36991869919;239.861167115281
-8676000;133200;2694.90243902439;4192.62195121951;2753.61382113821;2831.76016260163;4228.63821138211;3016.54471544715;1830.39837398374;221.558985718474
-8608050;153450;2554.60465116279;3979.53488372093;2502.31007751938;2610.08527131783;4250.09689922481;3174.97286821705;1944.21317829457;242.622939704129
-8729550;249750;3675.64077669903;4923.29126213592;3891.33980582524;3842.95145631068;4616.52912621359;3219.47572815534;1867.5;198.284894518282
-8616600;162450;2530.5873605948;3499.32713754647;2435.56133828996;2556.82527881041;3659.34572490706;3048.40520446097;2018.50557620818;234.028969769698
-8668350;181350;3352.98130841121;4491.76635514019;3497.84112149533;3503.19626168224;4449.86448598131;3269.3738317757;1966.41121495327;195.885880356822
-8709300;254250;3546.35682819383;4897.02643171806;3740.63876651982;3713.94273127753;4669.93832599119;3265.85022026432;1902.32599118943;200.442604719612
-8686350;227250;3594.407239819;4739.03167420814;3719.29864253394;3745.76923076923;4565.73755656109;3395.23981900453;2049.56561085973;196.09379356878
-8686800;235350;3500.18518518519;4666.88425925926;3616.33333333333;3652.59722222222;4522.61111111111;3308.1712962963;1991.23148148148;196.293466478803
-8716500;197100;3352.09623430962;4428.3179916318;3517.35146443515;3508.93305439331;4372.52719665272;3308.3179916318;2045.09623430962;195.763885183616
-8679600;171000;3207.25225225225;4486.79279279279;3342.88738738739;3371.03603603604;4349.19369369369;3156.53153153153;1854.68918918919;195.021095237957
-8663400;109350;3538.62352941176;4513.18823529412;3506.99411764706;3559.2;4633.04705882353;3542.88823529412;2281.84117647059;240.29630589196
-8689050;236700;3529.73148148148;4683.55092592593;3646.65740740741;3671.12037037037;4513.7962962963;3318.9537037037;1982.2962962963;196.587179080854
-8727750;210600;3554.81222707424;4653.47598253275;3708.47598253275;3694.38427947598;4526.78602620087;3371.31441048035;2063.73362445415;197.261697252154
-8674200;217800;3435.23766816144;4551.91031390135;3578.73542600897;3588.65919282511;4436.4798206278;3283.43049327354;1996.26457399103;195.416948970864
-8741700;207450;3041.04166666667;4211.68333333333;3215.04166666667;3197.22916666667;4135.1625;3015.82916666667;1861.82916666667;197.097308434799
-8610300;74250;4422.68253968254;5077.52380952381;4574.73015873016;4509.88888888889;4958.20634920635;3698.1746031746;2416.90476190476;234.63352877371
-8646300;110700;3253.34928229665;5091.85167464115;3259.47846889952;3372.53110047847;5123.43540669856;3711.46889952153;2302.03349282297;243.150745777267
-8687250;217350;3240.48130841121;4557.25700934579;3383.33644859813;3405.75700934579;4423.81775700935;3198.1214953271;1924.1261682243;195.576826649533
-8742600;226800;3648.68055555556;4751.18981481481;3850.23148148148;3808.86574074074;4604.86574074074;3362.05555555556;2065.73611111111;197.009475764075
-8626950;225900;2409.20567375887;4093.91489361702;2511.24113475177;2571.19858156028;4100.39716312057;2771.86879432624;1612.12411347518;215.053798066542
-8722800;148500;3394.01;4447.515;3566.58;3540.215;4352.505;3333.475;2061.82;195.401135705664
-8666100;179100;3250.15246636771;4362.79820627803;3371.85650224215;3383.34529147982;4228.71300448431;3169.38565022422;1904.40807174888;195.569018643154
-8703900;157950;3636.49462365591;4581.26344086022;3764.17741935484;3768.70430107527;4395.59139784946;3326.64516129032;2001.56451612903;195.195869439691
-8722800;120600;3549.46341463415;4720.32195121951;3716.01463414634;3700.71219512195;4566.40975609756;3384.73658536585;2018.32682926829;196.289139639193
-8663850;202050;3456.36437246964;4579.45748987854;3577.87044534413;3604.2995951417;4490.16599190283;3327.83805668016;2004.04048582996;195.624331184239
-8724600;150300;3504.89099526066;4541.24644549763;3667.95734597156;3651.99052132701;4388.663507109;3421.17061611374;2108.76303317536;194.868708679197
-8614800;194400;2005.67957746479;3449.58450704225;1886.85563380282;2018.44366197183;3873.41549295775;3022.53873239437;1801.76056338028;242.001356672786
-8692200;239850;3294.39906103286;4570.67136150235;3442.6572769953;3456.28638497653;4481.62910798122;3188.6103286385;1881.81690140845;196.595188655074
-8719650;240300;3545.18584070796;4810.8407079646;3750.8185840708;3714.93362831858;4668.15486725664;3323.63716814159;1972.86725663717;198.209329348841
-8606700;165600;2197.8309352518;3133.61151079137;1947.27338129496;2089.37769784173;3778.45683453237;3400.54316546763;2189.03237410072;240.123936818994
-8747550;232650;3715.36312849162;4929.77094972067;3928.8938547486;3885.02793296089;4730.86033519553;3384.77094972067;2051.74860335196;197.395689980392
-8719200;279000;3298.9519650655;3820.40174672489;3411.20524017467;3435.19650655022;3593.13973799127;2615.80349344978;1580.44104803493;200.593517034136
-8628750;192600;2441.28880866426;4041.71119133574;2399.17689530686;2551.06859205776;4083.42238267148;3059.49458483755;1828.14079422383;224.496810927177
-8680500;175500;3383.65137614679;4503.90825688073;3499.02752293578;3525.77064220184;4407.51834862385;3263.15137614679;1975.25229357798;195.904251062582
-8634150;129600;2815.65843621399;4292.86008230453;2705.64609053498;2844.65432098765;4519.15226337449;3405.01646090535;2117.7037037037;243.461222029788
-8641350;204300;2224.07692307692;4145.0989010989;2309.5347985348;2415.04029304029;4029.35897435897;2804.2967032967;1565.17582417582;198.201428333558
-8687250;225450;3406.99038461538;4596.87019230769;3542.23076923077;3560.62980769231;4483.77403846154;3282.11057692308;1980.75;195.778648505418
-8739900;134100;3409.29493087558;4447.30875576037;3580.2534562212;3553.3133640553;4374.01843317972;3383.66820276498;2120.57142857143;196.353636039225
-8604000;92700;3494.93203883495;4377.79611650485;3654.82524271845;3594.57281553398;4295.49514563107;3026.72815533981;1902.06796116505;232.368097752969
-8684100;114300;2090.01908396947;3983.11450381679;2153.60687022901;2244.80152671756;3958.62213740458;2627.93893129771;1515.90839694656;226.298499834277
-8617950;193050;2396.35185185185;4028.34444444444;2385.99259259259;2506.65925925926;4049.43333333333;2836.05185185185;1681.64814814815;235.059199396793
-8702550;108900;2301.53629032258;3816.32661290323;2391.16532258065;2441.41935483871;3829.6935483871;2679.95564516129;1598.29838709677;214.577092217882
-8709750;179100;3399.79912663755;4634.09170305677;3554.82532751092;3554.24017467249;4442.66375545851;3354.68558951965;2047.35371179039;195.172164451463
-8649900;243000;3294.64049586777;4443.5867768595;3392.14876033058;3437.30991735537;4303.37190082645;3164.06198347107;1883.55371900826;195.449096859666
