latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8610300;197100;3103.24347826087;4441.2;3168.82173913043;3243.53043478261;4390.57391304348;3242.31739130435;1918.74782608696;197.540120894411
-8703000;225900;3698.08064516129;4842.48924731183;3880.9623655914;3854.78494623656;4729.74731182796;3611.5376344086;2273.28494623656;198.241812825173
-8687700;208800;3476.40340909091;4505.89772727273;3625.85795454545;3620.10227272727;4548.78977272727;3436.49431818182;2162.49431818182;201.846570302057
-8631000;92250;3093.45641025641;4722.61025641026;3168.3641025641;3230.24102564103;4536.55897435897;3214.84615384615;2000.34358974359;226.440415413081
-8640000;211950;3140.96315789474;4442.69473684211;3303.47894736842;3302.19473684211;4385.06842105263;3188.42631578947;1879.06315789474;195.532190156664
-8671950;90900;3541.6524822695;4476.11347517731;3579.3829787234;3610.43971631206;4651.73758865248;3416.17021276596;2161.64539007092;242.144856503904
-8748900;212400;3075.54922279793;4193.02590673575;3228.73575129534;3251.81347150259;4120.9896373057;3183.42487046632;2031.20207253886;196.840070614996
-8702550;286200;3272.47340425532;3928.35638297872;3453.14893617021;3445.3670212766;3799.25531914894;2981.20212765957;1936.14893617021;197.073535808764
-8689500;108900;3895.76829268293;4598.94512195122;4053.45731707317;4007.7012195122;4500.50609756098;3335.82317073171;2118.98780487805;207.176862874082
-8712900;278100;3425.12432432432;3834.38378378378;3510.96756756757;3559.12972972973;3668.41081081081;2945.25405405405;1919.68648648649;197.832585339595
-8722350;242100;3913.41379310345;5063.45977011494;4124.81609195402;4075.98275862069;4889.77011494253;3652.02873563218;2224.38505747126;196.014684527806
-8683650;277200;3587.48587570621;4770.94350282486;3713.31638418079;3758.40677966102;4665.43502824859;3459.95480225989;2170.26553672316;200.070927135434
-8689950;252000;3494.56684491979;4699.72727272727;3656.78609625668;3662.27807486631;4562.5935828877;3473.47593582888;2161;196.590437040771
-8773200;162000;3317.24120603015;4205.95477386935;3481.02010050251;3472.72361809045;4151.64824120603;3295.85929648241;2180.40703517588;200.667492286776
-8669700;257400;3354.36813186813;4407.41208791209;3514.55494505495;3505.97252747253;4321.18681318681;3250.63736263736;1993.77472527473;195.431723874893
-8613450;90000;4123.5;4903.65873015873;4270.87301587302;4217.47619047619;4732.33333333333;3389.33333333333;2131.61904761905;232.14076126247
-8624250;99450;3142.37016574586;4319.98895027624;3295.7955801105;3257.61325966851;4289.52486187845;2994.19889502762;1904.04972375691;236.630451380468
-8740350;268650;3589.95138888889;4318.43055555556;3805.84722222222;3747.01388888889;4190.27777777778;3169.77777777778;2024.03472222222;197.027703519657
-8702550;213300;3487.63829787234;4701.15425531915;3688.8829787234;3650.48936170213;4573.9414893617;3468.76063829787;2182.95744680851;197.688445195111
-8656200;142200;3965.76315789474;4883.80921052632;4070.18421052632;4073.30263157895;4868.94078947368;3663.78947368421;2335.30921052632;222.017779044714
-8718750;188100;3445.73979591837;4634.92346938776;3634.20408163265;3600.53571428571;4597.4387755102;3523.64795918367;2241.12755102041;201.57166055389
-8714700;175500;3499.46875;4559.49479166667;3724.828125;3664.46354166667;4503.55729166667;3495.94791666667;2205.96354166667;196.675470473532
-8701650;285750;3133.48633879781;3835.75409836066;3317.77049180328;3305.57923497268;3696.22950819672;2892.39344262295;1865.27868852459;197.074242480184
-8731800;170550;3701.7486631016;4773.51336898396;3912.80748663102;3858.60427807487;4665.10160427807;3702.31550802139;2344.13903743315;196.775453905608
-8714700;213750;3577.69142857143;4795.46285714286;3780.04;3741.91428571429;4685.80571428571;3498.09142857143;2217.02285714286;200.143928037246
-8728650;272700;3772.67105263158;4782.44078947368;3951.55921052632;3931.11184210526;4561.84210526316;3462.18421052632;2171.92763157895;196.611440809469
-8744400;190350;3876.93370165746;4886.62983425414;4076.80662983425;4033.28729281768;4759.65193370166;3691.46961325967;2369.98895027624;199.101624006129
-8591850;127800;3077.96894409938;4640.10559006211;3154.73913043478;3218.01863354037;4656.1801242236;3234.16149068323;1985.96273291925;236.688919848447
-8732250;176850;3654.76344086022;4840.84946236559;3888.2311827957;3821.51075268817;4743.67741935484;3691.28494623656;2322.22580645161;196.973716422824
-8716050;292950;3205.88372093023;4135.22093023256;3333.23837209302;3394.25581395349;3963.72674418605;2915.52325581395;1838.34302325581;197.60673883501
-8731350;162000;3771.09523809524;4853.68253968254;3973.51322751323;3938.37037037037;4840.15343915344;3783.11111111111;2437.56084656085;201.00063474461
-8736750;256950;3766.71527777778;4902.38194444444;3960.85416666667;3935.90277777778;4761.06944444444;3552.05555555556;2189.96527777778;196.058792028121
-8655750;240750;3395.93367346939;4327.37755102041;3566.23979591837;3546.20918367347;4328.16326530612;3283.0306122449;2065.16326530612;198.126305365485
-8634150;104400;3188.24861878453;5038.88397790055;3242.87845303867;3340.39226519337;4766.55248618785;3332.47513812155;2026.45856353591;222.931221786149
-8705250;151650;3584.60897435897;4648.91666666667;3729.89102564103;3735.15384615385;4556.1858974359;3527.40384615385;2226.70512820513;199.068813098321
-8629200;93600;3105.8835978836;4787.96296296296;3161.2962962963;3236.85714285714;4604.6455026455;3276.72486772487;2063.61375661376;233.835411988501
-8714250;189900;3633.98913043478;4770.77717391304;3810.91304347826;3799.29891304348;4760.88043478261;3624.10869565217;2306.97826086957;201.437903232836
-8725050;251550;3569.75;4764.46794871795;3758.71794871795;3734.33974358974;4613.20512820513;3492.19230769231;2164.64102564103;196.206074929165
-8691750;243450;3452.52197802198;4550.2967032967;3647.31318681319;3619.2032967033;4516.88461538462;3386.54945054945;2091.00549450549;196.029120953492
-8709750;226800;3505.82872928177;4756.94475138122;3691.31491712707;3671.08839779006;4642.66850828729;3476.50276243094;2173.00552486188;197.991200231319
-8568450;142650;3328.325;4187.23125;3451.70625;3415.65;4112.45625;2929.93125;1902.3;235.307040924038
-8673750;149400;3408.57222222222;4453.79444444444;3563.62777777778;3525.3;4376.13888888889;3199.16666666667;1927.9;206.851355371581
-8752050;155700;3758.47027027027;4962.78378378378;3937.94594594595;3920.46486486486;4867.13513513513;3776.22702702703;2366.15135135135;198.855989035039
-8734050;196200;3665.42631578947;4867.91052631579;3874.61578947368;3834.85789473684;4725.71578947368;3633.01052631579;2284.7;196.544538072842
-8623800;123750;2674.67889908257;4051.32568807339;2735.73394495413;2824.00458715596;4111.33486238532;3058.23394495413;1910.5;207.723293686408
-8715150;156150;3767.8869047619;4525.8630952381;3977.50595238095;3910;4449.54166666667;3564.70238095238;2266.15476190476;195.951968105574
-8610750;221400;2921.74242424242;4251.14141414141;3038.65151515152;3064.10606060606;4327.80808080808;2999.53535353535;1732.72222222222;215.251298161324
-8606700;120150;2994.60209424084;4399.03664921466;3064.48167539267;3125.30366492147;4426.64921465969;3214.39267015707;2005.13612565445;224.036084965077
-8668800;175500;3678.59677419355;4572.97849462366;3817.01075268817;3811.28494623656;4548.27419354839;3437.05376344086;2119.05376344086;197.876839958032
-8587350;119700;3349.79255319149;3935.10106382979;3514.3829787234;3446.07446808511;3979.73404255319;2937.43085106383;1872.84042553191;218.146086223174
-8737200;228600;3699.87134502924;4699.20467836257;3865.48538011696;3860.22807017544;4553.47368421053;3515.22222222222;2196.99415204678;196.138530969916
-8708400;165600;3611.55428571429;4509.78857142857;3796.93714285714;3765.38285714286;4466.41142857143;3480.89142857143;2190.97714285714;196.320035010968
-8618400;223650;4261.70833333333;5031.64285714286;4384.29166666667;4367.2619047619;4799.08928571429;3644.39285714286;2179.99404761905;197.54377590123
-8714250;240750;3911.29545454545;4998.57386363636;4104.18181818182;4073.19886363636;4840.67045454545;3705.00568181818;2305.70454545455;195.527487868757
-8651250;125100;3524.29012345679;4389.88271604938;3526.3024691358;3568.65432098765;4604.14197530864;3510.92592592593;2232.61728395062;240.271706650188
-8615700;119250;2996.235;4366.575;3052.04;3136.885;4367.395;3199.78;2003.865;212.019710062059
-8697150;289350;3170.24193548387;3643.25806451613;3355.91935483871;3337.54301075269;3543.0376344086;2825.66129032258;1872.76344086022;197.096835479824
-8645850;115200;3171.01554404145;5039.58031088083;3220.44041450777;3331.66321243523;4955.35233160622;3478.48186528497;2146.9792746114;230.320493430937
-8628750;108000;3154.91133004926;4843.14285714286;3194.16748768473;3305.27093596059;4784.00492610837;3507.21674876847;2205.3842364532;220.460132429285
-8596350;179100;2332.77872340426;3843.04255319149;2364.20425531915;2473.82978723404;4001.88936170213;2909.06808510638;1745.12340425532;217.999321121724
-8753850;248850;4033.84563758389;4846.81879194631;4207.08053691275;4167.12080536913;4699.1610738255;3637.93288590604;2331.78523489933;197.959920795366
-8731350;133650;3864.60606060606;4699.40606060606;4078.63636363636;4015.10909090909;4624.91515151515;3662;2348.67878787879;197.778398176574
-8743500;244800;3945.23529411765;4999.44444444444;4138.62091503268;4105.83660130719;4784.60784313726;3696.74509803922;2346.92810457516;195.307807433289
-8639100;178650;4040.93888888889;4783.66666666667;4183.65;4153.95555555556;4683.22222222222;3517.54444444444;2192.13888888889;201.341465980269
-8619750;128250;3185.17676767677;4492.44444444444;3254.86363636364;3317.74242424242;4417.05555555556;3290.68181818182;2084.73232323232;208.986297319573
-8663400;228150;3312.30729166667;4363.32291666667;3508.109375;3472.41666666667;4308.96354166667;3278.51041666667;2035.265625;195.693228845023
-8700750;194850;3682.12048192771;4701.36746987952;3843.98192771084;3830.43373493976;4687.3734939759;3619.35542168675;2302.68674698795;201.155723430833
-8723250;144450;3533.60109289618;4482.2131147541;3728.95628415301;3691.22404371585;4479.68306010929;3505.45355191257;2218.98907103825;198.184757202888
-8673300;266850;3239.38918918919;4347.70810810811;3411.7027027027;3398.29189189189;4357.8972972973;3240.08108108108;2044.20540540541;200.703247621756
