latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8743050;256950;3127.05357142857;4575.72023809524;3235.36904761905;3293.73214285714;4316.33333333333;3155.875;1932;195.998256812645
-8663850;115200;3510.34328358209;4404.17910447761;3522.32835820896;3569.62686567164;4589.55223880597;3450.72388059702;2179.07462686567;239.913291641932
-8586000;172800;3590.80813953488;4979.62790697674;3647.77906976744;3724.93023255814;4922.22674418605;3598.77906976744;2251.58139534884;223.620505820061
-8734500;172800;3224.75773195876;4555.88144329897;3368.98453608247;3378.27835051546;4441.12886597938;3342.16494845361;2079.55154639175;197.852902638396
-8731350;208350;3031.0404040404;4240.11111111111;3155.80808080808;3179.64646464646;4198.30808080808;3103.88888888889;1938.07070707071;200.854749287214
-8700750;257850;2784.37037037037;4432.62962962963;2906.24338624339;2958.58201058201;4265.85714285714;3066.10052910053;1873.89417989418;197.27661844464
-8556750;163350;3640.56565656566;4616.31313131313;3792.33333333333;3744.90909090909;4382.21212121212;3268.93939393939;2079.54545454545;211.179366982262
-8753850;159750;3044.64921465969;4891.75392670157;3172.48167539267;3238.34031413613;4718.42931937173;3400.24607329843;2058.57591623037;201.29077669958
-8713350;260100;2792.48167539267;4525.94764397906;2928.41361256544;2976.06282722513;4330.53403141361;3068.60732984293;1849.0942408377;196.304328990982
-8693550;157500;3540.60666666667;4495.84;3671.84;3677.96666666667;4294.41333333333;3300.65333333333;2046.01333333333;195.505710016158
-8584650;74250;3225.59829059829;4422.86324786325;3434;3397.47008547009;4293.50427350427;3192.50427350427;2041.97435897436;197.464202344782
-8671050;96750;3866.19469026549;4725.6017699115;3898.37168141593;3928.05309734513;4845.41592920354;3668.61946902655;2401.74336283186;241.33333945489
-8670150;171000;3313.74479166667;4540.61979166667;3435.15625;3466.96875;4399.45833333333;3296.44270833333;2035.59375;196.276749889757
-8723250;130500;3173.81609195402;4342.05747126437;3298.99425287356;3319.63793103448;4242.87356321839;3165.58045977011;1942.79885057471;196.444866514657
-8690850;241200;2794.74731182796;4175.41935483871;2894.38172043011;2950.87634408602;4115.4623655914;3030.13978494624;1865.59139784946;199.291292595613
-8791200;181350;2891.06806282723;4080.28795811518;2963.01570680628;3039.52356020942;3993.48167539267;2963.39267015707;1871.01047120419;202.415467058904
-8682750;153450;3341.70588235294;4310.70588235294;3483.47647058824;3482.4;4230.6;3140.56470588235;1964.48823529412;197.979696204396
-8680950;191250;2921.45502645503;4091.48677248677;3009.44973544974;3061.26984126984;4111.03703703704;3064.87301587302;1913.38095238095;203.756802352219
-8662500;165600;3176.55056179775;4548.75280898876;3301.60112359551;3333.08988764045;4417.60674157303;3268.43258426966;2031.65730337079;197.76074349908
-8665200;148950;3743.4;4799.88666666667;3864.59333333333;3887.34;4567.39333333333;3391.84666666667;2102.94666666667;197.198259700607
-8592300;172800;3531.62345679012;4841.08024691358;3577.98765432099;3653.00617283951;4765.96296296296;3528.1975308642;2199.06172839506;221.11949282686
-8661600;191250;3283.97191011236;4423.8595505618;3405.06179775281;3429.73033707865;4330.12359550562;3254.70224719101;2006.19662921348;196.425061099261
-8634600;122850;3196.3850931677;4757.95652173913;3216.95652173913;3323.16149068323;4784.90062111801;3516.39130434783;2266.65217391304;236.168455008311
-8592300;147600;2973.97740112994;4317.37853107345;3018.76836158192;3086.82485875706;4410.53672316384;3257.81920903955;1991.11299435028;229.700058539823
-8626500;175950;3820.83854166667;5085.5625;3832.78125;3962.453125;4950.19791666667;3804.44791666667;2347.578125;200.878169899689
-8712900;221400;3042.03535353535;4592.74242424242;3161.56565656566;3212.06060606061;4456.56565656566;3188.58080808081;1970.95454545455;200.323393618768
-8652150;94950;3198.39520958084;4743.91616766467;3239.65269461078;3320.95808383234;4700.65269461078;3538.61676646707;2267.66467065868;228.327062936738
-8590950;93150;4231.30909090909;4946.61818181818;4370.47272727273;4326.4;4748.94545454545;3622.43636363636;2367.67272727273;214.887013471423
-8715600;287550;2667.56216216216;2929.39459459459;2766.52432432432;2807.2972972973;2809.56756756757;2327.18378378378;1622.17837837838;201.354077414736
-8669700;161550;3775.12903225806;4904.25806451613;3895.74731182796;3925.87096774194;4715.7311827957;3575.96774193548;2248.37634408602;197.781019546445
-8646300;231300;4074.43137254902;4871.83660130719;4199.06535947712;4193.2614379085;4662.7908496732;3509.24836601307;2186.50326797386;197.751269279021
-8736750;226800;2958.51052631579;4399.33157894737;3047.50526315789;3117.37894736842;4285.34210526316;3153.46842105263;1931.48947368421;197.881919889811
-8739000;236250;3290.64480874317;4699.28415300546;3379.72131147541;3449.34972677596;4514.33879781421;3314.77595628415;2046.58469945355;198.192047452257
-8733600;179100;3098.53367875648;4584.87564766839;3230.23316062176;3260.11917098446;4418.43005181347;3303.12953367876;2041.46113989637;197.319313056532
-8745750;148500;3075.59574468085;4650.29255319149;3218.46276595745;3248.61170212766;4442.28723404255;3356.1329787234;2055.90957446808;195.939523278889
-8741700;242550;3040.08571428571;4638.05714285714;3167.76;3223.49142857143;4434.89142857143;3115.83428571429;1851.85142857143;195.734349638417
-8702550;107100;3024.20879120879;4411.62637362637;3144.43956043956;3170.96703296703;4310.45054945055;3033.37362637363;1818.80769230769;204.681249019168
-8656200;202500;3171.73821989529;4380.79581151832;3263.26178010471;3307.73821989529;4296.94240837696;3256.13089005236;2041.13612565445;199.259304159437
-8729550;187650;3036.57142857143;4469.63265306122;3175.28571428571;3198.52040816327;4391.37244897959;3240.94387755102;2025.57142857143;200.629401172948
