latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8628300;142650;2123.05217391304;3882.86086956522;2144.03043478261;2264.00434782609;3895.93913043478;2713.90434782609;1566.90869565217;221.727903645956
-8649000;108900;3051.74175824176;5069.42857142857;3097.91208791209;3211.98901098901;4920.56593406593;3480.55494505495;2183.06593406593;232.63218451204
-8602200;40950;2998.05633802817;4421.03521126761;3211.59154929577;3165.80985915493;4353.67605633803;3056.0985915493;1907.61971830986;204.315673386336
-8735400;282150;3255.46285714286;4036.98285714286;3362.89142857143;3406.61714285714;3929.32571428571;3014.74857142857;1963.59428571429;198.941620304714
-8714250;147150;3463.19075144509;4437.24277456647;3612.30057803468;3609.74566473988;4423.03468208092;3396.34104046243;2158.90173410405;200.387183999797
-8606250;68850;4643.63636363636;5210.5;4804.65151515152;4744.77272727273;4934.89393939394;3591.25757575758;2296.65151515152;217.833118410524
-8617500;235350;2917;4024.73059360731;3089.2100456621;3054.06849315068;3999.24200913242;2841.27397260274;1703.14611872146;200.646723039447
-8696250;106650;4225.5625;5180.19375;4387.31875;4366.5125;4935.41875;3603.14375;2168.3875;197.609803305632
-8669250;261000;3310.78536585366;4436.90243902439;3427.69756097561;3454.18536585366;4316.07317073171;3316.76585365854;2056.49756097561;195.992958180972
-8667450;126000;2757.775;4323.9;2889.56;2915.92;4374.625;3072.19;1846.565;214.714258723481
-8674650;238050;3042.14925373134;4185.74129353234;3174.37313432836;3190.08457711443;4148.01990049751;3137.39303482587;1956.24378109453;197.089438682241
-8770500;171900;3376.87830687831;4992.01587301587;3466.74074074074;3546.22222222222;4782.32804232804;3578.8253968254;2199.33862433862;198.969188390859
-8707500;234000;3443.7193877551;4750.88265306122;3588.93367346939;3589.52551020408;4579.83163265306;3364.44897959184;2047.45918367347;198.27841631082
-8654850;178200;3793.27011494253;4701.64367816092;3950.38505747126;3920.75287356322;4562.83908045977;3459.56896551724;2118.09195402299;196.792808297845
-8699850;133200;4609.33898305085;5218.08474576271;4787.65254237288;4727.83898305085;4960.59322033898;3671.6186440678;2186.5593220339;196.974913881302
-8642250;189450;4462.59712230216;5299.57553956835;4589.15107913669;4597.46043165468;5085.02158273381;3782.59712230216;2239.46762589928;196.581376774747
-8704800;284400;2877.72815533981;3653.92233009709;3012.75242718447;3037.77669902913;3612.10194174757;2743.0145631068;1775.42718446602;198.644778263325
-8621550;226350;3661.64676616915;4626.46268656716;3797.35323383085;3788.54726368159;4524.99004975124;3331.14427860697;1995.38308457711;198.630080001558
-8753850;153900;3414.42647058824;4836.30882352941;3544.9362745098;3576.04411764706;4701.20098039216;3520.37254901961;2143.89705882353;197.351866176073
-8702100;259200;3221.86138613861;4722.60396039604;3376.97524752475;3382.47524752475;4554.28712871287;3283.15841584158;1956.31683168317;197.490790789096
-8624250;166950;1867.14342629482;3437.01195219124;1879.47410358566;2003.94023904382;3598.05179282869;2646.14342629482;1510.1593625498;209.311857750139
-8628300;75600;2874.61313868613;4492.96350364963;2978.53284671533;3012.03649635036;4415.88321167883;3113;1880.66423357664;226.568406125798
-8667450;109800;3046.40476190476;4021.58928571429;3087.10119047619;3108.32738095238;4296.41071428571;3217.85119047619;2044;238.548303041947
-8721000;190350;3197.54245283019;4535.65094339623;3362.54245283019;3354.05660377358;4462.44811320755;3296.38679245283;2018.85849056604;198.105441476745
-8715150;190350;3301.34862385321;4597.52752293578;3468.50458715596;3459.18348623853;4444.78899082569;3293.17431192661;2003.21100917431;195.506369088494
-8734050;186300;3317.33846153846;4706.64102564103;3467.25641025641;3481.76923076923;4634.43076923077;3471.54871794872;2161.11282051282;201.3605044555
-8670150;243900;3063.58937198068;4186.31400966184;3198.42028985507;3216.57971014493;4093.87439613527;3080.25603864734;1865.32367149758;195.105526585429
-8607150;163800;2016.11764705882;3449.23921568627;1935.59215686275;2088.72549019608;3852.57254901961;3091.74117647059;1914.54901960784;232.237087282368
-8671950;193500;3347.57920792079;4315.21287128713;3492.12871287129;3488.37623762376;4308.87623762376;3297.12871287129;2053.61386138614;197.49987856181
-8643600;228150;4231.07382550336;5128.40268456376;4368.31543624161;4353.84563758389;4941.8322147651;3611.25503355705;2121.48322147651;203.330946863702
-8689050;206100;3379.12060301508;4464.31155778894;3494.62311557789;3512.86432160804;4425.26130653266;3334.8391959799;2090.59798994975;201.893904448605
