latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8728650;255600;3526.31759656652;4827.51931330472;3727.72532188841;3703.4635193133;4576.30901287554;3217.36051502146;1883.4635193133;196.439943422939
-8626950;72900;3634.65945945946;4606.00540540541;3793.45405405405;3744.94594594595;4330.25945945946;3095;1840.87027027027;207.114875229959
-8579250;165600;2382.50988142292;3968.34387351779;2404.14229249012;2481.13833992095;3964.94466403162;2781.16600790514;1654.23320158103;235.846968457676
-8645400;134550;2536.87179487179;4093.53418803419;2546.81623931624;2647.12820512821;4213.09829059829;2980.78632478632;1787.67094017094;238.756825607948
-8620200;233100;3268.02409638554;4569.18473895582;3301.39357429719;3386.95582329317;4466.79518072289;3178.01606425703;1874.4016064257;218.466757540182
-8680050;133200;2186.15953307393;3908.81712062257;2270.49027237354;2346.13618677043;3790.19844357977;2601.58365758755;1482.15953307393;200.605775161432
-8703000;269550;3309.39224137931;4733.62068965517;3463.03448275862;3481.83189655172;4496.89224137931;3097.41379310345;1820.65517241379;197.545013030429
-8631900;95850;3306.5099009901;4779.15346534654;3370.06930693069;3428.5099009901;4583.98514851485;3378.81188118812;2077.77227722772;212.93272474286
-8729550;169650;3357.88546255507;4635.39647577093;3514.85462555066;3518.86343612335;4499.4449339207;3336.87665198238;2025.40969162996;195.51394386969
-8709300;151200;3544.3640776699;4600.49514563107;3677.06310679612;3688.57766990291;4412.44660194175;3292.63106796117;1959.1359223301;195.091530201149
-8574300;170100;2562.51867219917;4146.3734439834;2589.97925311203;2672.08713692946;4164.377593361;2823.15767634855;1625.24066390042;237.382872626447
-8751600;164250;3446.47161572052;4890.18340611354;3619.59825327511;3622.21397379913;4703.4672489083;3552.67248908297;2180.02183406114;196.025552944513
-8661150;249750;3226.99126637555;4321.81659388646;3334.20524017467;3368.44541484716;4223.88209606987;3040.81659388646;1808.63755458515;196.958356054425
-8781300;183150;3507.97807017544;4720.32894736842;3639.53070175439;3661.19736842105;4592.31140350877;3365.83333333333;2110.85526315789;200.984851891905
-8725950;202950;3556.48181818182;4642.49545454545;3699.63636363636;3701.09545454545;4503.26818181818;3418.45909090909;2098.19545454545;196.049864423351
-8708400;282600;2835.52049180328;3617.40573770492;2983.93032786885;3007.29508196721;3504.95901639344;2506.65163934426;1558.93032786885;200.704832316927
-8715150;135450;3385.69902912621;4617.39805825243;3499.19417475728;3536.48058252427;4481.64077669903;3291.99029126214;1993.81067961165;195.958543211303
-8615250;136800;3133.5512195122;3962.27317073171;3214.47317073171;3208.62926829268;3963.09756097561;2987.6487804878;1928.96585365854;231.30265793582
-8655300;148050;3499.34418604651;4799.31627906977;3551.64651162791;3615.93023255814;4652.02790697674;3485.87441860465;2156.02790697674;210.513473566995
-8675550;112050;2770.75892857143;3981.45089285714;2857.57142857143;2881.25;3887.54017857143;2808.33928571429;1773.30357142857;220.627158570304
-8619300;60300;3278.34042553192;4159.91489361702;3384.40425531915;3376.44680851064;4140.04255319149;2910.46808510638;1778.17021276596;229.132788454311
-8725050;144000;3012.59111111111;4264.24444444444;3177.44888888889;3179.19555555556;4164.48444444444;3048.43555555556;1806.52444444444;193.940929408751
-8685000;257850;3392.75324675325;4707.06926406926;3522.329004329;3548.25108225108;4553.19913419913;3258.5670995671;1924.59307359307;197.44304162911
-8744850;268650;3306.85714285714;4220.08571428571;3467.99523809524;3465.4380952381;4022.22380952381;2867.40952380952;1728.86666666667;196.969616093046
-8564850;144900;3800.16770186335;4451.49068322981;3983.53416149068;3881.93167701863;4134.23602484472;2925.19254658385;1716.50310559006;215.439358518257
-8777250;176850;3172.39910313901;4660.7668161435;3285.7264573991;3337.99551569507;4490.06278026906;3342.81614349776;2059.22869955157;196.597975804727
-8701650;229950;3199.72173913043;4606.28260869565;3374.37826086957;3368.30869565217;4407.42173913043;3082.00434782609;1820.6;196.419057882219
