latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8611200;163350;2315.07196969697;3592.46212121212;2270.47727272727;2396.18939393939;3922.98863636364;3035.83712121212;1817.52272727273;230.804792044016
-8719200;282600;3043.33183856502;3809.56502242152;3151.89686098655;3198.37219730942;3513.05829596413;2534.2600896861;1509.90582959641;199.562373749135
-8617500;134100;3501.61956521739;4610.54891304348;3607.83695652174;3605.125;4489.44565217391;3234.63586956522;1982.66847826087;227.450797389157
-8696700;265050;3302.71914893617;4703.4;3453.29787234043;3475.49361702128;4431.4;3064.05531914894;1764.4;195.584094529782
-8626500;226800;2891.18631178707;4134;2992.83650190114;3035.12547528517;4043.09505703422;2861.19771863118;1685.98859315589;197.505678111714
-8753850;250200;3615.92537313433;4583.4776119403;3781.42786069652;3769.3631840796;4277.38308457711;3041.77611940298;1819.2039800995;195.743197833332
-8653500;232650;3156.35840707965;4300.78761061947;3283.34513274336;3306.51327433628;4165.80973451327;3016.42477876106;1796.23008849558;195.670556256203
-8676450;202500;3167.30909090909;4274.90454545455;3302.61363636364;3318.89090909091;4160.74090909091;3032.89545454545;1812.60909090909;195.496286999424
-8757450;199350;3022.39449541284;3385.35779816514;3164.76605504587;3160.62844036697;3245.95412844037;2565.62385321101;1680.18348623853;198.728922700606
-8725500;285750;3172.61574074074;3826.93055555556;3291.5;3334.48148148148;3585.56018518519;2586.90740740741;1558.55555555556;199.631561117401
-8615250;42750;3589.6724137931;4550.78448275862;3791.62068965517;3723.25;4416.95689655172;3256.25862068966;2016.12068965517;199.147149192746
-8685900;256050;3258.07943925234;4524;3387.04672897196;3418.63551401869;4325.26168224299;3052.91121495327;1789.19158878505;195.523219308903
-8662500;226350;3200.93273542601;4340.69506726457;3330.04035874439;3356.57399103139;4217.82062780269;3058.66816143498;1801.66367713004;195.124113129166
-8728200;216900;3186.19724770642;4485.5;3333.72018348624;3354.55504587156;4288.81651376147;3084.79816513761;1810.93119266055;194.999086799026
-8648100;81000;3554.84946236559;4855.28494623656;3666.77956989247;3666.88172043011;4671.73655913978;3303.0376344086;1994.2688172043;229.915628847529
-8732250;180450;3125.11061946903;4591.93362831858;3276.84513274336;3295.21681415929;4400.48672566372;3190.6592920354;1890.8982300885;194.603875452674
-8558100;156600;4377.64102564103;5011.88461538462;4545.91025641026;4472.4358974359;4714.55128205128;3397.39743589744;2064.23076923077;212.808068207675
-8677350;277650;3222.77375565611;4554.01809954751;3341.77828054299;3385.52036199095;4320.33936651584;2993.35294117647;1732.67873303167;196.017712154415
-8722800;130050;3258.74879227053;4457.56038647343;3371.3961352657;3401.94685990338;4316.28985507246;3167.51207729469;1886.37198067633;195.618731033827
-8671500;114750;3081.85981308411;4446.34579439252;3148.11682242991;3202.2476635514;4367.10747663551;3212.80841121495;2013.97196261682;220.635424971695
-8562150;181350;3237.93838862559;4433.54976303318;3336.25592417062;3355.95734597156;4369.65876777251;3027.99526066351;1764.4691943128;226.137902387489
-8653050;131850;2764.55128205128;4173.75213675214;2849.96153846154;2873.53846153846;4193.05982905983;2979.86324786325;1781.86324786325;232.923616356201
-8694450;138150;2426.82916666667;4191.4375;2580.48333333333;2615.7625;4063.02083333333;2718.8375;1528.775;196.328262330726
-8731350;168750;3203.71428571429;4540.86607142857;3384.75892857143;3375.83035714286;4365.20982142857;3213.77232142857;1921.44196428571;194.959902399683
-8660700;117450;2459.5020746888;4040.90041493776;2513.06639004149;2588.09958506224;4042.5643153527;2799.26141078838;1610.58091286307;223.757126190115
-8691750;214650;3083.98522167488;4463.65517241379;3214.63054187192;3259.39408866995;4240.9802955665;3096.15763546798;1817.85714285714;194.724781343731
-8719200;201600;3054.55458515284;4234.7423580786;3214.12227074236;3216.82532751092;4079.43668122271;3021.17467248908;1798.22707423581;195.009195782896
-8626950;202500;3202.1125;4397.06666666667;3236.29166666667;3319.66666666667;4278.13333333333;3131.09166666667;1884.4625;205.873098819489
