latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8708850;233100;3113.9295154185;4711.41850220264;3230.33920704846;3281.72246696035;4557.35682819383;3217.40969162996;1973.07929515419;203.993742219002
-8642700;213750;3126.29147982063;4469.74439461883;3208;3279.34529147982;4341.41704035874;3128.56950672646;1888.08520179372;195.189656137705
-8675550;127350;3629.98979591837;4780.56632653061;3759.20918367347;3764.05612244898;4582.8112244898;3319.05102040816;2064.89795918367;204.638278077761
-8716950;180000;2960.79912663755;4480.86462882096;3071.78165938865;3131.26637554585;4362.58951965066;3085.93013100437;1866.29257641921;198.173674533781
-8645400;237600;3081.33617021277;4318.4085106383;3194.3829787234;3241.21276595745;4183.55744680851;3055.80425531915;1864.98723404255;196.308466711243
-8642700;83700;3538.73099415205;4980.3567251462;3631.6783625731;3663.14619883041;4705.29824561404;3380.15789473684;2097.6081871345;221.613857483056
-8681850;274050;2839.42727272727;4438.73181818182;2904.94545454545;3017.83181818182;4275.98636363636;2993.05454545455;1813.64545454545;201.063993199996
-8671050;194400;2999.43162393162;4208.67094017094;3122.59401709402;3155.08974358974;4154.8547008547;3017.62820512821;1874.10683760684;198.765789704778
-8678700;147150;3620.06220095694;5031.3971291866;3752.85645933014;3789.64114832536;4813.64114832536;3324.17224880383;1950.5023923445;201.690066110587
-8739000;188100;2875.56696428571;4574.42857142857;2979.74553571429;3054.83482142857;4402.13392857143;3103.08035714286;1851.83482142857;196.525146600972
-8755650;175050;3164.60792951542;5038.93392070485;3259.04845814978;3344.45814977974;4735.88546255507;3422.32158590308;2080.63876651982;197.713980295919
-8584200;111600;3691.77586206897;4502.60344827586;3852.99137931034;3787.36206896552;4603.28448275862;3303.88793103448;2111.88793103448;240.081429075155
-8686350;160650;2791.64732142857;4235.02678571429;2939.45535714286;2972.86160714286;4062.92410714286;2848.48214285714;1671.34375;195.270588349111
-8622450;62550;3857.03529411765;4518.72941176471;4043.47058823529;3946.88235294118;4144.24705882353;3034.23529411765;1922.85882352941;211.443681263839
-8768250;178200;3082.64912280702;4520.37719298246;3143.66666666667;3232.72807017544;4248.07456140351;3130.89912280702;1934.61403508772;190.908194036186
-8736300;166050;2928.6798245614;4504.55701754386;3038.50438596491;3103.25438596491;4369.81578947368;3141.04824561404;1903.08333333333;196.66120244352
-8743500;174150;2915.44888888889;4365.83111111111;3032.48888888889;3080.03555555556;4255.34666666667;3035.06222222222;1880.36;201.081167351211
-8689050;196650;2960.89237668161;4285.2197309417;3052.29147982063;3117.75784753363;4203.56502242153;2983.15246636771;1847.37668161435;204.375362315859
-8691750;257850;2967.52252252252;4464.80630630631;3062.81981981982;3135.56756756757;4337.32882882883;3073.4954954955;1884.0045045045;201.16901438646
-8607150;102600;4220.29166666667;4972.25;4339.67708333333;4319.66666666667;4843.85416666667;3506.76041666667;2263.78125;234.904095922964
-8598600;121500;3918.2101910828;4982.17834394904;4015.14649681529;4013.70700636943;4849.55414012739;3531.65605095541;2294.54777070064;239.069734648537
-8576100;175950;3286.12121212121;4746.07575757576;3361.63131313131;3427.54545454545;4686.96464646465;3376.99494949495;2110.42424242424;227.138146247333
-8673300;229050;2981.16438356164;4245.16894977169;3061.22374429224;3135.28310502283;4244.96803652968;2989.05479452055;1886.59817351598;211.595332018938
-8696250;265050;2827.14537444934;4421.13215859031;2922.96916299559;3001.69603524229;4173.35682819383;2944.93392070485;1783.2422907489;198.065901797483
-8608050;155700;2951.97165991903;4360.74089068826;2981.33198380567;3071.71659919028;4461.6032388664;3240.53036437247;2000.07287449393;232.36715194124
-8785800;180900;2971.78440366972;4355.01376146789;3050.01834862385;3131.57798165138;4199.1880733945;3049.13302752294;1906.47706422018;201.129870933519
-8591850;52650;2970.37254901961;4457.6339869281;3138.00653594771;3144.54901960784;4416.65359477124;3138.13725490196;1944.18954248366;201.821312727897
-8563500;171900;3502.47252747253;4800.10989010989;3613.36263736264;3632.25824175824;4682.84065934066;3400.51648351648;2090.03846153846;214.375924842685
-8659350;181800;3180.866359447;4411.49769585253;3288.85253456221;3338.63133640553;4323.58064516129;3089.79723502304;1914.76958525346;202.15826454336
-8669700;213750;2895.88185654008;4152.32489451477;2977.04219409283;3050.40506329114;4079.86919831224;2930.21097046414;1819.83544303797;203.127595749494
-8662500;218250;3083.08888888889;4236.51555555556;3174.87111111111;3226.96888888889;4142.36888888889;3025.37333333333;1879.00444444444;200.613347312767
-8602200;170550;2621.99170124481;4061.46473029046;2665.77593360996;2749.82157676349;4115.85477178423;2988.6887966805;1798.65560165975;219.546799981906
