latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8754750;228600;3168.95964125561;4191.47085201794;3295.17488789238;3318.0134529148;4014.44843049327;2888.51121076233;1781.78475336323;199.821419332944
-8649900;185400;3549.64563106796;4656.75242718447;3686.97087378641;3704.41262135922;4402.82038834951;3208.05339805825;1891.00970873786;195.240685534314
-8680050;256500;3193.90948275862;4545.20689655172;3310.39224137931;3365.39655172414;4260.39655172414;3020.59482758621;1775.89224137931;195.276591744683
-8642250;148500;2884.46484375;4518.34765625;2985.4609375;3043.76171875;4342.14453125;3076.12109375;1812.09765625;196.946192968545
-8636850;76500;3410.86057692308;4926.66346153846;3496.24519230769;3548.50480769231;4617.98076923077;3291.74038461538;1995.07692307692;207.259236659907
-8626050;122400;2876.91561181435;4186.42616033755;2900.91561181435;2998.55274261603;4208.29957805907;3051;1816.49367088608;215.669608324833
-8713350;139950;3149.77202072539;4359.51295336788;3278.15544041451;3306.43523316062;4242.81865284974;3024.13471502591;1820.96373056995;197.277033843256
-8566200;178650;2988.06132075472;4195.13679245283;3078.3679245283;3107.56132075472;4014.42452830189;2962.65566037736;1784.6179245283;196.710489113394
-8698050;246150;3156.8410041841;4710.15481171548;3325.35146443515;3344.55230125523;4411.56066945607;3105.57740585774;1794.65690376569;194.946217818394
-8696250;265050;3113.96595744681;4565.22127659574;3252.85106382979;3291.67234042553;4266.22978723404;2989.21276595745;1733.34893617021;195.065723082806
-8722350;138600;3097.91244239631;4419.55760368664;3269.6267281106;3270.36405529954;4238.49769585253;3010.17050691244;1777.22580645161;195.281522749258
-8635500;237150;3435.29875518672;4585.90456431535;3541.89211618257;3577.23651452282;4376.38174273859;3158.24481327801;1882.72199170124;196.137715833402
-8607150;60750;4131;4918.14782608696;4276.05217391304;4267.26956521739;4651.88695652174;3352.26956521739;2051.65217391304;197.716363747914
-8671950;165600;3243.95564516129;4690.77016129032;3399.26209677419;3428.14112903226;4514.91129032258;3130.57661290323;1819.79435483871;197.653820332429
-8720100;200700;3162.17154811715;4352.46025104603;3326.49790794979;3337.13807531381;4067.35564853556;2949.70292887029;1770;195.928944821775
-8635050;106200;3570.93193717277;4851.79057591623;3632.93193717277;3677.73298429319;4491.56020942408;3378.95287958115;2127.89005235602;206.843151788205
-8693550;118800;3161.59821428571;4262.33928571429;3316.875;3301.56696428571;4167.01785714286;2865.10714285714;1705.39285714286;207.428984002447
-8639100;215100;3376.57142857143;4631.83265306122;3489.89795918367;3532.47346938775;4424.02857142857;3143.35510204082;1836.51020408163;195.529767039767
-8629650;207900;2539.73161764706;4182.47058823529;2619.27941176471;2703.17647058824;4050.42279411765;2854.77573529412;1652.37867647059;196.214134893844
-8698050;290700;2804.33472803347;3766.97071129707;2962.86192468619;2993.85774058577;3542.43933054393;2441.05439330544;1460.07112970711;199.719293141205
-8613900;229950;3468.56;4486.716;3544.224;3581.92;4381.388;3137.652;1901.764;214.369252574881
-8616150;169200;1983.76865671642;3292.41417910448;1986.94402985075;2095.37313432836;3532.59701492537;2636.05223880597;1546.01492537313;221.582575534011
-8770050;159300;3224.23605150215;4674.28326180257;3356.48927038627;3401.88841201717;4426.95278969957;3231.05150214592;1957.61373390558;195.494438701613
-8700750;108900;3572.7149321267;4604.61085972851;3686.1628959276;3697.18552036199;4399.12669683258;3119.70588235294;1887.68325791855;206.958747140541
-8707950;279450;2928.80912863071;3580.00414937759;3046.05394190871;3084.75933609959;3409.72614107884;2415.99585062241;1466.85477178423;201.338254396819
-8579700;138600;4003.10638297872;4778.02127659574;4137.17730496454;4092.30496453901;4633.64539007092;3269.67375886525;2006.23404255319;232.771895430546
-8790300;180450;2941.69444444444;4127.89814814815;3052.98148148148;3101.44444444444;3786.59722222222;2849.28240740741;1759.69907407407;197.037059371096
-8629200;89100;3385.8969072165;4808.18041237113;3472.69072164948;3500.9381443299;4527.21134020619;3142.01030927835;1875.89175257732;228.876244902887
-8652150;110250;3164.68446601942;5138.50485436893;3235.82038834951;3331.26213592233;4993.16019417476;3440.98058252427;2081.97087378641;230.554093305099
-8613000;157500;2652.1484375;4231.37109375;2711.9375;2797.15625;4173.39453125;2856.8671875;1667.74609375;216.975741626644
