latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8730900;154800;4071.18934911243;4935.13017751479;4258.86982248521;4223.37869822485;4802.60355029586;3807.30769230769;2410.31952662722;194.859151606082
-8658450;121950;2758.81578947368;3950.13684210526;2819.61052631579;2865.53157894737;4122.87368421053;2977.14210526316;1844.51052631579;231.235312731614
-8565300;157050;3653.42567567568;4299.54054054054;3798.60135135135;3724.92567567568;4277.51351351351;2958.66216216216;1834.95945945946;235.065267674879
-8698950;221400;3772.82857142857;4881.89142857143;3968.68;3945.6;4747.16;3503.31428571429;2144.97714285714;196.027723812585
-8727300;288450;3594.2;3741.47428571429;3726.07428571429;3751.70285714286;3673.78857142857;2857.48571428571;1874.61714285714;199.022317550996
-8680950;220950;3726.65269461078;4664.06586826347;3910.20958083832;3879.84431137725;4610.06586826347;3532.16167664671;2243.52095808383;199.34338238359
-8733150;169200;3920.66666666667;4897.75925925926;4105.37037037037;4072.97530864198;4805.33333333333;3776.37037037037;2405.42592592593;198.747747496576
-8655300;252000;3437.3956043956;4425.92857142857;3611.1043956044;3597.55494505495;4359.57142857143;3232.15934065934;1989.17582417582;195.756530674806
-8782650;182250;3589.99408284024;4701.01183431953;3737.79881656805;3742.77514792899;4566.72781065089;3518.4201183432;2311.01183431953;202.26709109015
-8664300;263250;3533.54545454545;4551.89772727273;3703.26136363636;3689.47159090909;4448.14204545455;3269.98295454545;1997.77840909091;195.75396757557
-8740800;188100;3864.05161290323;4941.18709677419;4065.03870967742;4029.83870967742;4898.52258064516;3722.58709677419;2358.38064516129;200.235076236645
-8708400;288000;3518.04864864865;4206.55135135135;3680.40540540541;3694.01621621622;4039.84864864865;2961.42702702703;1871.6972972973;197.484441263437
-8639100;224550;3567.07462686567;4809.85572139303;3732.89054726368;3742.78606965174;4687.63184079602;3271.16915422886;1912.39303482587;199.303046308427
-8714250;283950;3475.78106508876;3674.00591715976;3657.24852071006;3636.56213017751;3595.19526627219;2811.19526627219;1863.51479289941;197.403786156174
-8730000;216450;3768.2514619883;4794.74269005848;3962.9298245614;3933.12280701754;4659.50292397661;3577.05263157895;2263.02339181287;196.897915363972
-8697600;217350;3656.84523809524;4705.60119047619;3843.69642857143;3817.55952380952;4681.06547619048;3441.47619047619;2148.14285714286;199.56791891007
-8662950;113400;3493.6397515528;4308.54658385093;3518.9751552795;3537.73913043478;4448.47826086957;3396.06211180124;2159.77639751553;238.247721123529
-8703000;111600;3347.83425414365;4476.60773480663;3480.81767955801;3493.02762430939;4412.38674033149;3100.08839779006;1883.74033149171;205.328206662902
-8603100;122400;3093.08988764045;4581.42696629214;3154.49438202247;3217.75280898876;4428.85393258427;3138.7191011236;1931.38202247191;227.424809783073
-8656650;107550;3071.8152173913;4922.27173913043;3106.90217391304;3214.47282608696;4853.82065217391;3470.125;2161.91304347826;237.720874683168
-8731350;184050;3806.02272727273;4850.59659090909;4031.01136363636;3973.35227272727;4782.26704545455;3704.89772727273;2347.70454545455;198.026491671194
-8677350;186750;3704.43558282209;4666.37423312883;3866.50920245399;3848.99386503067;4548.93251533742;3532.08588957055;2199.14110429448;196.102723371795
-8628750;206100;2963.30222222222;4315.32444444444;3093.18222222222;3114.78666666667;4332.46222222222;3090.03111111111;1846.93777777778;202.395514321577
-8632800;197550;3650.56585365854;4931.24390243902;3774.00975609756;3816.29756097561;4850.76585365854;3537.02926829268;2116.09756097561;199.707495746607
-8694000;268200;3617.07386363636;4884.875;3828.10227272727;3798.47159090909;4726.88636363636;3357.71590909091;2019.34659090909;197.496851913017
-8698500;162450;4097.53191489362;4876.95035460993;4280.09219858156;4243.05673758865;4806.82269503546;3632.51063829787;2271.62411347518;196.644149611974
-8714700;186300;3882.73988439306;4947.4161849711;4084.4161849711;4040.31791907514;4790.29479768786;3715.98265895954;2326.63583815029;195.340008436789
-8724150;274050;3618.73548387097;4481.1935483871;3801.85161290323;3786.67096774194;4220.31612903226;3112.62580645161;1946.98709677419;196.893627727331
-8689500;263250;3490.34782608696;4698.65217391304;3706.01863354037;3666.65838509317;4591.82608695652;3285.07453416149;1983.18633540373;196.609725060063
-8697600;164250;3824.61842105263;4705.20394736842;4018.17105263158;3976.54605263158;4509.61184210526;3461.36184210526;2133.27631578947;195.596364628128
-8718750;218250;3862.87195121951;5004.21341463415;4081.30487804878;4039.71341463415;4864.7012195122;3609.73170731707;2269.14024390244;197.090770576827
-8794800;186300;2991.61139896373;3027.38860103627;3187.67357512953;3171.95336787565;3046.66321243523;2602.66321243523;1829.44559585492;197.121320405201
-8743050;185850;3862.53896103896;4953.03896103896;4065.41558441558;4033.12987012987;4858.88961038961;3745.90909090909;2373.53246753247;198.476994816359
-8752500;158400;3933.2967032967;5296.69230769231;4136.87362637363;4114.70879120879;5189.24175824176;4017.41758241758;2564.25274725275;199.370850240428
-8730000;235350;3768.62987012987;4871.66233766234;3984.87662337662;3934.8961038961;4790.41558441558;3568.64285714286;2231.83116883117;197.506072313659
-8719200;273150;3679.95238095238;4481.94642857143;3826.5119047619;3830.64880952381;4253.88095238095;3085.77380952381;1917.29166666667;197.771865110573
-8766900;203850;3364.02127659574;3400.13829787234;3576.29255319149;3513.29787234043;3352.60638297872;2867.0585106383;1986.96808510638;197.081277867576
-8687250;117900;2787.17209302326;4201.97674418605;2935.78604651163;2943.76279069767;4156.86511627907;2804.9023255814;1624.37209302326;207.545770550402
-8780850;184950;3768.02840909091;4876.89204545455;3934.00568181818;3928.51136363636;4752.48863636364;3669.51704545455;2438.03409090909;202.212839755192
-8581500;86400;3615.4609929078;4697.02127659574;3799.06382978723;3760.12056737589;4470.93617021277;3001.43971631206;1819.14184397163;216.417970515937
-8705250;276300;3546.61797752809;4302.92134831461;3699.83146067416;3705.41011235955;4180.2191011236;3136.15730337079;1996.98876404494;197.208031288647
-8673750;177300;3863.7005988024;4792.93413173653;4001.69461077844;4009.24550898204;4653.4371257485;3567.64670658683;2173.00598802395;195.762006689436
-8732250;162450;4051.19620253165;4973.18987341772;4275.72784810127;4209.77215189873;4813.37341772152;3808.83544303797;2394.29746835443;193.024704186701
-8636400;169200;3045.67942583732;4342.5023923445;3152.34449760766;3182.73205741627;4424.60765550239;3149.31578947368;1871.004784689;217.118166725875
-8741250;238500;4063.0067114094;5120.02684563758;4232;4221.61073825503;4936.75167785235;3764.61073825503;2355.21476510067;195.37843888979
-8632350;232200;3194.84186046512;4520.68372093023;3350.97209302326;3355.55348837209;4461.0976744186;3123.62325581395;1879;201.808809954794
-8717850;279900;3564.35294117647;4268.34705882353;3724.82352941176;3726.23529411765;4060.19411764706;3016.11176470588;1910.71764705882;197.256378334958
-8677350;265500;3285.92134831461;4534.65168539326;3453.11797752809;3459.65730337079;4473.23595505618;3153.00561797753;1912.00561797753;197.324498357201
-8621550;103500;3007.42931937173;4090.69633507853;3105.33507853403;3111.28272251309;4049.57591623037;2824.65968586387;1752.25654450262;229.137058995444
-8725050;216900;3782.5119047619;4908.14880952381;3980.8630952381;3951.41071428571;4803.74404761905;3555.67261904762;2242.86904761905;198.97865409724
-8682300;139050;3675.08379888268;4813.43016759776;3810.09497206704;3802.79888268156;4721.8156424581;3403.70391061453;2086.6312849162;215.574506873877
-8751600;187200;3745.59119496855;4847.40880503145;3940.27044025157;3909.62264150943;4788.88679245283;3665.94968553459;2340.44025157233;200.965734260097
-8634150;148950;2501.77333333333;3821.09777777778;2568.55555555556;2639.47555555556;3872.43111111111;2785.33333333333;1747.90666666667;214.535673410982
-8632350;126450;2919.62019230769;4096.84134615385;2895.01442307692;2988.80288461538;4339.95192307692;3405.65384615385;2192.43269230769;235.167193357912
-8678700;172800;3468.25287356322;4531.3275862069;3635.74137931034;3625.45977011494;4517.71264367816;3352.4367816092;2065.3908045977;196.947901074104
-8687700;209250;3660.60479041916;4655.67664670659;3816.26347305389;3808.44311377246;4552.70658682635;3497.20958083832;2199.88023952096;197.534178169372
-8650800;233550;3600.16025641026;4445.87820512821;3772.48717948718;3738.83974358974;4357.01923076923;3278.37179487179;2031.19871794872;195.908828044195
-8743950;228150;4008.00666666667;5031.18666666667;4172.94666666667;4167.76;4914.02666666667;3764.78;2394.14;199.407024615052
-8663850;238950;3336.31720430108;4329.7688172043;3487.94623655914;3493.61290322581;4227.78494623656;3194.47849462366;1973.22580645161;195.874471327784
-8616600;69750;3688.4406779661;4266.39830508475;3838.00847457627;3753.38983050847;4267.38983050847;2982.13559322034;1819.50847457627;234.288509980624
-8613900;53550;3711.17910447761;4847.39552238806;3883.20895522388;3859.86567164179;4641.74626865672;3090.58955223881;1825.58955223881;218.897947930161
-8714700;214650;3856.83139534884;5026.0523255814;4067.27906976744;4024.18023255814;4879.13953488372;3658.08720930233;2309.68023255814;197.803402985566
-8689050;193500;3816.76923076923;4765.57692307692;3958.13461538462;3959.50641025641;4646.71794871795;3571.85897435897;2256.64102564103;198.103171275188
-8694000;256950;3594.40909090909;4750.34659090909;3819.60227272727;3771.54545454545;4661.32386363636;3375.73863636364;2057.84090909091;196.459542558048
-8695350;141300;3176.71186440678;4594.44632768362;3342.68926553672;3352.29943502825;4525.16384180791;3220.61581920904;1909.25423728814;199.234020259465
-8593200;50850;2358.97395833333;4184.91666666667;2470.390625;2533.14583333333;4047.98958333333;2628.515625;1527.39583333333;212.869959732156
-8635050;193050;2500.07798165138;4099.24770642202;2668.41743119266;2702.32568807339;4154.95412844037;2816.51376146789;1616.88073394495;197.860824085667
-8608950;204750;2964.10344827586;4515.03448275862;3037.87068965517;3144.92672413793;4551.93103448276;3274.00862068966;1903.89224137931;203.433820678879
-8699400;237150;3804.87134502924;4906.35087719298;4064.30994152047;3976.80701754386;4768.66666666667;3517.97660818713;2199.3918128655;197.162973365241
-8717400;247500;3585.49056603774;4856.91194968553;3808.7106918239;3756.71698113208;4711.44025157233;3373.01886792453;2002.46540880503;198.339892258591
-8673300;166950;3638.12962962963;4744.8024691358;3798.30864197531;3801.53086419753;4644.91358024691;3468.11111111111;2131.52469135802;196.323387719885
-8731350;225000;3901.81325301205;5024.53012048193;4092.42168674699;4069.57228915663;4838.74698795181;3676.93373493976;2290.1265060241;195.448803107438
-8736750;138600;3859.26946107784;4764.0119760479;4077.47305389222;4013.91017964072;4679.46107784431;3691.35928143713;2360.46107784431;197.511369959903
-8654850;243000;3334.45989304813;4310.95187165775;3516.04278074866;3487.79144385027;4259.10160427807;3202.35828877005;2004.26203208556;196.868169845519
-8701650;107550;3421.81632653061;4579.61224489796;3530.62244897959;3552.36734693878;4499.33673469388;3214.86224489796;1968.39795918367;212.569065343271
-8725050;238950;3973.89473684211;5072.69005847953;4204.76023391813;4144.37426900585;4911.09941520468;3625.0350877193;2258.34502923977;196.556005209485
-8741250;142650;3752.91954022989;4823.47126436782;3984.21264367816;3919.93103448276;4799.5;3703.72413793103;2327.36781609195;198.535505082863
-8618400;177750;2021.69387755102;3297.97551020408;2031.56326530612;2160.22040816327;3441.9387755102;2582.97551020408;1528.15102040816;207.673740691955
-8734950;277650;3722.28289473684;4473.4802631579;3901.28947368421;3882.13157894737;4266.1447368421;3221.51315789474;2075.51973684211;197.055947302793
-8686350;265500;3661.52173913043;4901.8198757764;3856.06211180124;3839.08074534162;4691.78260869565;3467.49689440994;2085.83850931677;195.741571662233
-8669250;215550;3683.27380952381;4565.10714285714;3845;3830.4880952381;4433.97619047619;3405.85119047619;2139.08333333333;196.461669477254
-8615700;112950;3027.43434343434;4105.9797979798;3096.97474747475;3128.54545454545;4197.09595959596;2986.06060606061;1846.61111111111;233.877725596163
-8789850;185400;3610.45555555556;4646.37222222222;3756.45;3760.15555555556;4502.40555555556;3484.48888888889;2307;202.146809655097
-8629650;79200;2902.95808383234;4374.20958083832;2974.95808383234;3019.69461077844;4416.76047904192;2913.75449101796;1703.2754491018;239.331610494868
-8676000;119250;3887.67283950617;4826.00617283951;3989.59259259259;3998.37654320988;4741.93827160494;3488.78395061728;2215.07407407407;224.986291096381
-8599050;126900;3060.94054054054;4435.44324324324;3121.4972972973;3164.93513513514;4384.38378378378;3130.23243243243;1960.41621621622;236.764809268276
-8571150;188100;3492.27604166667;4637.5;3559.42708333333;3603.19270833333;4697.91666666667;3504.3125;2157.97916666667;224.342023821808
-8626950;101700;2856.49268292683;4251.30243902439;2935.39512195122;2982.31219512195;4147.50243902439;2922.98536585366;1783.25853658537;220.30718351406
-8734950;218700;3868.77070063694;4900.77070063694;4036.79617834395;4023.07006369427;4820.31210191083;3619.41401273885;2270.84713375796;199.002283157713
-8742600;178200;4024.53947368421;4939.94736842105;4243.59868421053;4178.42105263158;4909.625;3774.17105263158;2427.42763157895;201.15884234653
-8672850;181800;3647.52147239264;4527.22699386503;3802.22085889571;3792.84049079755;4451.1472392638;3400.45398773006;2095;195.440918639672
-8685000;189900;3597.94512195122;4531.25609756098;3783.81097560976;3754.23780487805;4440.2256097561;3371.84756097561;2109.90243902439;196.167519066872
-8664300;222300;3816.47126436782;4715.10344827586;3967.80459770115;3966.94827586207;4642.30459770115;3561.8275862069;2226.67816091954;196.947390841326
-8713350;153900;3988.91034482759;4760.85517241379;4188.00689655172;4134.95862068966;4688.55172413793;3658.94482758621;2319.96551724138;196.615299501513
-8576100;170550;2987.17616580311;4383.00518134715;3052.96373056995;3111.10362694301;4340.12435233161;3065.63730569948;1863.14507772021;228.262278102629
-8649000;154350;3909.64375;4811.975;4018.3125;4029.05;4726.74375;3549.4375;2210.3625;202.766654830134
-8685450;173250;3548.54385964912;4578.54970760234;3727.69590643275;3705.50877192982;4431.9298245614;3421.24561403509;2148.3567251462;195.943314855478
-8612550;64350;4554.43396226415;5167.77358490566;4688;4651.84905660377;4856.27358490566;3384.55660377358;2096.12264150943;227.939550927649
-8684550;244800;3797.41104294479;4779.59509202454;3993.06748466258;3952.19631901841;4585.82208588957;3450.65644171779;2101.65644171779;195.774130839327
-8653950;232200;3784.93854748603;4653.77653631285;3946.94972067039;3936.32402234637;4533.05027932961;3423.98882681564;2102.12849162011;195.981638033962
-8781750;193950;3646.90751445087;4589.94219653179;3834.49710982659;3797.20231213873;4442.94797687861;3440.52601156069;2271.39306358382;200.400833121864
-8639100;79200;3286.39306358382;4398.02312138728;3377.0289017341;3380.52023121387;4307.94797687861;2944.43352601156;1821.00578034682;235.787676347397
-8699850;209250;3587.08888888889;4755.72222222222;3774.87777777778;3754.01666666667;4614.98888888889;3418.63888888889;2126.82222222222;197.085097794553
-8599050;167400;2592.19396551724;3957.63362068966;2610.2974137931;2705.62068965517;4173.56896551724;3098.375;1921.25;232.370151204164
-8637750;83700;2988.69230769231;4462.8;3048.52307692308;3103.43076923077;4363.00512820513;2992.17948717949;1806.92307692308;237.544653968852
-8575650;144450;2994.407239819;4156.29864253394;3110.49773755656;3112.81900452489;4145.35746606335;2875.35294117647;1760.79185520362;229.140739681915
-8595000;153000;2588.19915254237;3801.10593220339;2591.52542372881;2682.55508474576;4006.62288135593;3061.36440677966;1893.3686440678;230.050289139227
-8688600;100800;2998.31884057971;4248.15458937198;3095.29951690821;3118.27536231884;4237.84541062802;2963.39130434783;1825.64734299517;231.259340466077
-8703000;167850;3719.03225806452;4555.63870967742;3899.50967741935;3867.33548387097;4458.38064516129;3434.61290322581;2183.0064516129;197.498708612006
-8781750;183150;3633.78235294118;4738.48235294118;3780.35294117647;3788.70588235294;4684.61764705882;3539.11176470588;2321.12941176471;203.398023805329
-8613000;158850;3182.28571428571;4410.46428571429;3207.89285714286;3293.35714285714;4503.91071428571;3327.27232142857;2073.35267857143;229.441540779302
-8681400;189000;3733.75449101796;4645.46107784431;3906.83832335329;3877.65868263473;4601.77844311377;3479.02994011976;2168.74251497006;197.46362489825
-8734950;233100;3901.38410596027;4889.54966887417;4073.43708609272;4055.43708609272;4736.6357615894;3576.16556291391;2265.43708609272;197.719599816761
-8595900;77850;3009.31360946746;4464.75147928994;3220.3550295858;3180.4201183432;4263.91124260355;2808.69230769231;1637.03550295858;204.799748471805
-8654400;231750;3578.46242774566;4494.28901734104;3754.22543352601;3731.38728323699;4393.8323699422;3259.87861271676;1974.17919075145;195.095350301324
-8622900;67500;3013.53594771242;4207.07843137255;3161.90849673203;3127.37254901961;4084.86928104575;2668.12418300654;1590.2614379085;233.965872975998
-8754750;165150;3940.17045454545;5202.75;4096.15340909091;4104.36931818182;5117.69318181818;3991.03977272727;2580.26704545455;200.85325530876
-8752500;188550;3714.68322981366;4856.6149068323;3919.90062111801;3885.04347826087;4787.14906832298;3632.93167701863;2290.45341614907;199.037441752458
-8715150;123300;3658.10714285714;4796.9;3805.98571428571;3821.47142857143;4621.15;3426.42857142857;2066.51428571429;195.906755089354
-8681850;150300;4226.76033057851;5019.77685950413;4388.4958677686;4364.81818181818;4863.55371900826;3550.67768595041;2169.90909090909;197.67825507088
-8723250;183600;3944.60479041916;5038.10778443114;4142.47305389222;4103.37125748503;4911.31137724551;3828.2994011976;2456.52694610778;199.381101366095
-8705700;205650;3653.50264550265;4797.86772486772;3831.82010582011;3812.60317460317;4664.02645502645;3487.02116402116;2173.24867724868;197.083182464816
-8743950;162900;3905.21787709497;5106.77094972067;4105.12849162011;4078.39664804469;4941.26815642458;3864.87709497207;2432.7094972067;195.038864659896
-8612100;108000;3373.9932885906;4074.76510067114;3486.52348993289;3438.93959731544;4028.55033557047;2864.23489932886;1754.04697986577;234.047278830078
-8735850;183600;3797.67901234568;4858.2037037037;4010.77160493827;3965.87654320988;4783.91358024691;3661.8024691358;2325.57407407407;198.997926992458
-8577450;192150;3506.56650246305;4481.59113300493;3563.62068965517;3603;4484.04926108374;3377.68472906404;2171.97536945813;227.904745204971
-8663850;232650;3596.39247311828;4652.71505376344;3765.74193548387;3757.16666666667;4586.56451612903;3450.01612903226;2131.13440860215;196.568870596852
-8670600;219600;3883.50299401198;4765.40718562874;4059.62874251497;4041.50299401198;4662.20359281437;3544.92814371257;2202.63473053892;196.025250772813
-8719200;228600;3704.34567901235;4907.79012345679;3917.47530864198;3868.41358024691;4808.67283950617;3545.37037037037;2212.53086419753;198.807649005842
-8711550;140400;4152.65625;4966.7734375;4301.796875;4298.671875;4806.3125;3656.796875;2276.9453125;195.680502776166
