latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8635050;133650;2659.89302325581;4223.61860465116;2570.87906976744;2708.50697674419;4479.79534883721;3404.2;2119.18139534884;243.121883490873
-8724600;147150;3651.44329896907;4633.92783505155;3799.04639175258;3784.57731958763;4541.17010309278;3513.59278350515;2185.76804123711;196.927820790617
-8631900;216000;2955.78828828829;4378.79279279279;3065.14414414414;3097.64414414414;4233.65315315315;3083.24324324324;1819.69369369369;196.395913974524
-8650350;184500;3893.37341772152;4980.29746835443;3988.15189873418;4031.06329113924;4785.29113924051;3610.21518987342;2196.03164556962;196.194709430711
-8640000;108450;3215.58552631579;4560.3947368421;3219.07236842105;3294.51315789474;4487.76315789474;3412.36184210526;2210.69736842105;236.269580572669
-8626950;98100;3225.11188811189;4755.30769230769;3236.27272727273;3330.14685314685;4769.38461538462;3457.74825174825;2158.93706293706;240.833457540464
-8644950;171000;3078.87614678899;4370.05504587156;3197.88990825688;3220.07339449541;4478.75688073394;3288.05504587156;2037.53211009174;212.714995122842
-8563050;168750;3691.47115384615;4603.31730769231;3792.27884615385;3747.38461538462;4430.65384615385;3175.80769230769;1942.40384615385;234.609716514469
-8616600;245700;2465.35802469136;4018.80658436214;2540.01234567901;2593.93827160494;4036.87242798354;2760.80658436214;1656.44444444444;232.653075032418
-8651250;126000;3056.28640776699;4174.04854368932;2964.54854368932;3052.47572815534;4451.69417475728;3396.08737864078;2123.7572815534;243.302669508069
-8713800;252450;3787.18009478673;5105.14691943128;3985.55450236967;3957.34597156398;4807.84360189573;3462.79146919431;2055.93838862559;196.64552781074
-8616150;136800;2997.33962264151;4025.50314465409;3071.7106918239;3082.62893081761;4000.29559748428;2980.40880503145;1944.49056603774;230.85728712205
-8658000;115200;2977.88775510204;4189.0306122449;2897.00510204082;2997.77551020408;4547.67346938776;3465.02551020408;2201.80612244898;244.196215303677
-8603100;122850;3266.92397660819;4368.6432748538;3322.59064327485;3350.48538011696;4310.59649122807;3316.40350877193;2130.94736842105;228.520482438499
-8757450;252000;3124.20879120879;3610.85714285714;3316.23626373626;3267.21428571429;3529.54945054945;2680.47802197802;1744.21428571429;198.091325172857
-8598150;52200;2409.4347826087;4160.13043478261;2505.57763975155;2559.62111801242;4137.9751552795;2873.93788819876;1702.75776397516;220.153973712214
-8606700;145800;2682.51869158879;4037.58878504673;2672.81308411215;2753.88785046729;4067.42056074766;3040.39252336449;1907.51401869159;238.395575680667
-8729550;202050;3821.07106598985;4812.68020304569;4004.47208121827;3966.89847715736;4717.42639593909;3535.34010152284;2174.54314720812;196.780148230869
-8626950;77850;3522.58974358974;4556.38461538462;3662.65811965812;3616.44444444444;4475.70085470085;3237.07692307692;2014.7094017094;232.890522847635
-8750700;260550;3385.64921465969;4394.75916230367;3526.48691099476;3541.57591623037;4133.1832460733;2942.97382198953;1803.77486910995;198.542857003587
-8646300;94950;3267.17857142857;4579.30357142857;3247.97023809524;3318.61904761905;4801.19642857143;3725.79761904762;2409.64285714286;245.166744530178
-8585100;75600;2683.99346405229;4181.86928104575;2825.54901960784;2830.46405228758;4110.18954248366;3002.66013071895;1914.71895424837;208.137378630232
-8762400;154800;3726.96666666667;5192.86666666667;3853.72777777778;3888.65;4937.40555555556;3889.67777777778;2450.4;199.047004421317
-8717400;292050;3418.39;3541.98;3590.72;3575.08;3427.98;2593.83;1651.175;198.484123649608
-8726400;150300;3594.8078817734;4575.26108374384;3768.15763546798;3736.6157635468;4513.46305418719;3503.40886699507;2210.60591133005;198.205736112843
-8666100;198900;3590.16042780749;4603.87165775401;3747.13368983957;3732.89839572193;4557.49197860963;3480.66310160428;2179.61497326203;199.0114139617
-8605350;52650;2907.6462585034;4183.75510204082;3040.91156462585;3044.55102040816;4085.74149659864;3000.48299319728;1917.16326530612;206.190511166594
-8694000;280350;3755.97969543147;4602.02030456853;3938.28426395939;3905.35532994924;4409.93908629442;3171.53299492386;1931.51269035533;196.994903395152
-8602650;136350;3335.54545454545;4252.08522727273;3241.125;3339.78409090909;4273.38068181818;3474.52272727273;2351.25;235.201579537879
-8693550;217350;3414.10215053763;4746.02688172043;3575.88709677419;3583.09139784946;4617.81182795699;3368.05376344086;2043.67204301075;196.583390178817
-8572500;151650;3102.71951219512;4346.9756097561;3181.70731707317;3182.12195121951;4381.90853658537;3160.37195121951;1963.07317073171;238.735117798027
-8606700;163350;2248.98790322581;3158.30241935484;2023.39516129032;2155.39112903226;3864.06451612903;3533.90322580645;2359.32258064516;241.670213290784
-8719650;265050;3762.00549450549;4623.36813186813;3934.77472527473;3912.56043956044;4357.45054945055;3096.28571428571;1837.96703296703;196.05505031667
-8651700;160200;3991.8431372549;5031.55555555556;4062.46405228758;4107.84967320261;4875.76470588235;3743.2614379085;2364.16993464052;203.671580992656
-8586450;161550;2466.53974895398;3489.4309623431;2342.38912133891;2420.9539748954;4053.73640167364;3307.57740585774;2111.07112970711;242.198075514039
-8719650;281700;3392.34020618557;3866.40206185567;3522.41237113402;3542.3969072165;3692.37628865979;2719.79381443299;1700.77835051546;200.31016270061
-8647650;129600;2600.27802690583;4134.88789237668;2551.60538116592;2669.52914798206;4427.13901345291;3270.80269058296;2019.84304932735;243.124018256288
-8617950;194400;2943.75438596491;4462.5350877193;2962.60964912281;3063.57456140351;4486.18421052632;3286.44298245614;1992.93859649123;229.880781601511
-8558550;159750;4621.08928571429;5226.5;4717.42857142857;4670.21428571429;5126.125;3753.44642857143;2447.26785714286;240.869805723257
-8640450;202500;2774.4347826087;4553.03043478261;2865.10434782609;2962.42173913043;4436.2652173913;3210.37826086957;1841.64347826087;200.15355850893
