latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8699400;162000;3780.91935483871;4729.02688172043;3806.52688172043;3879.8064516129;4617.40860215054;3416.81720430108;2087.47311827957;216.136770530489
-8705250;238500;3402.37735849057;4802.69339622641;3488.62735849057;3538.8820754717;4620.58490566038;3253.94339622642;1950.56132075472;215.088853850244
-8659350;234450;3007.15163934426;4210.31147540984;3070.81147540984;3141.84016393443;4133.84836065574;3001.97540983607;1810.84836065574;194.816450076419
-8636850;75600;2955.89268292683;4835.6;2913.13658536585;3067.38536585366;4676.90243902439;3247.48292682927;1962.92682926829;240.891597580058
-8667450;229500;3234.99118942731;4376.16740088106;3275.84581497797;3354.08810572687;4320.88986784141;3110.57268722467;1884.88546255507;214.335460948201
-8640450;190800;4294.45355191257;5303.71584699454;4242.72677595628;4369.72131147541;5116.19672131148;3806;2340.27322404372;236.539590927399
-8700750;122400;3305.19072164948;4580.47422680412;3328.44329896907;3414.8969072165;4474.42268041237;3222.43298969072;1928.25773195876;222.092473101904
-8600400;220950;2275.03484320557;3870.50522648084;2195.97909407666;2369.13588850174;4071.67595818815;2905.79094076655;1636.8362369338;235.44122494249
-8723700;202050;3625.13215859031;4473.67400881057;3679.66960352423;3727.5550660793;4394.1718061674;3373.43612334802;2113.94713656388;204.011584730761
-8582400;86400;3439.31884057971;4610.73913043478;3509.76086956522;3562.1884057971;4444.1884057971;3144.13043478261;1901.86231884058;213.696483148065
-8599500;161100;2078.21678321678;3448.16433566434;1917.71678321678;2106.65034965035;3872.22377622378;3053.89160839161;1830.66083916084;236.018573222341
-8618400;166500;2330.07876712329;3742.89726027397;2226.79109589041;2407.67123287671;3830.97602739726;2866.07534246575;1747.54452054795;233.264058754264
-8703450;169200;3397.85779816514;4442.49082568807;3451.82568807339;3509.98623853211;4347.88990825688;3226.47706422018;1985.32110091743;207.765491286761
-8588700;77850;3417.80303030303;4457.55303030303;3464.21212121212;3519.2196969697;4294.40909090909;3076.40151515152;1922.52272727273;224.102010143548
-8622900;220950;3692.77375565611;4665.66968325792;3673.35746606335;3771.31674208145;4537.06334841629;3331.23076923077;2057.25791855204;232.014997947493
-8714250;265950;3454.28240740741;4592.69907407407;3504.89351851852;3580.13888888889;4408.11111111111;3143.90740740741;1920.08333333333;208.133198955845
-8590050;180000;2904.38235294118;4382.22058823529;2826.71323529412;2976.36764705882;4444.94117647059;3227.16176470588;2001.16911764706;242.812140839749
-8691300;286650;3252.86842105263;4064.14035087719;3276.29824561404;3373.4649122807;3836.15789473684;2760.38157894737;1710.65789473684;202.391209498493
-8678700;255600;3253.34684684685;4523.88738738739;3309.89189189189;3382.51351351351;4420.81531531532;3180.63063063063;1954.90540540541;213.760097124165
-8687250;275400;3199.52073732719;4593.95852534562;3240.11059907834;3354.24884792627;4436.1935483871;3127.14746543779;1879.34101382488;202.168395263195
-8731350;158400;3496.21531100478;4769.37320574163;3551.87081339713;3627.42105263158;4663.97607655502;3455.38755980861;2105.36363636364;204.093130986496
-8618850;57600;3592.31067961165;4550.8932038835;3607.2427184466;3674.74757281553;4377.78640776699;3143.98058252427;1942.30097087379;230.272301646488
-8688150;180900;3335.86343612335;4484.9691629956;3362.03083700441;3432.39207048458;4338.49339207048;3217.08370044053;1957.14537444934;216.21998008067
-8713800;277200;3143.4652173913;3772.56956521739;3176.2347826087;3267.53043478261;3522.26956521739;2595.78695652174;1659.54782608696;201.564190797308
-8685900;287550;3230.02631578947;4344.05701754386;3255.08771929825;3357.8201754386;4098.49122807018;2909.96052631579;1767.11842105263;203.670348771189
-8743050;256050;3865.54358974359;5039.62564102564;3907.23076923077;3992.18461538462;4752.88717948718;3430.3641025641;2074.80512820513;203.325459676463
-8682750;236700;3312.11659192825;4499.26457399103;3373.53811659193;3442.43946188341;4358.87443946188;3180.48430493274;1951.7533632287;203.755287845993
-8646300;152100;3188.06113537118;4666.01746724891;3133.06986899563;3284.53711790393;4680.05240174673;3314.25327510917;1993.68122270742;238.34601568114
-8695800;211050;3285.82272727273;4552.3;3328.16363636364;3408.95454545455;4417.11363636364;3265.95454545455;1986.27272727273;203.374884429533
-8770050;182700;3620.84513274336;5027.63274336283;3642.73451327434;3740.55752212389;4893.01327433628;3692.11946902655;2329.88053097345;216.723619678666
-8620200;177300;2043.63389830508;3270.43389830508;1961.84745762712;2131.06101694915;3468.64745762712;2588.91186440678;1529.5186440678;229.672607492204
-8603100;90450;3067.6962962963;4292.71851851852;3103.47407407407;3162.94074074074;4115.08888888889;2855.48888888889;1721.36296296296;230.692535657948
-8746200;143550;3685.28899082569;4777.7752293578;3727.35321100917;3794.7752293578;4687.98165137615;3609.97706422018;2288.58256880734;208.779360482182
-8729100;286650;3077.85096153846;3456.63461538462;3121.47115384615;3209.13461538462;3295.23076923077;2480.42307692308;1588.66826923077;201.441447339079
-8675550;250650;3369.3619047619;4519.27142857143;3421.3619047619;3493.96666666667;4424.24761904762;3176.76666666667;1923.88095238095;210.003058594685
-8627400;112050;2703.97580645161;4061.83870967742;2616.73790322581;2762.26209677419;4196.20161290323;3123.375;1921.79838709677;240.031015434886
-8704800;263250;3262.25581395349;4722.37209302326;3335.80465116279;3403.95813953488;4510.47441860465;3172.62790697674;1894.95813953488;207.134404673087
-8725950;217350;3451.58904109589;4751.92694063927;3514.48401826484;3583.14155251142;4552.25570776256;3303.76712328767;2008.14155251142;203.430905039833
-8579700;181800;3023.66265060241;4430.89959839357;2978.0562248996;3105.69879518072;4407.71887550201;3124.69879518072;1921.09638554217;240.181634174123
-8606250;165150;2220.89726027397;3345.08219178082;2044.29109589041;2223.97260273973;3800.81849315068;3148.33219178082;1994.1301369863;234.606115267756
-8635950;148050;2406.90175438596;3995.7298245614;2367.98947368421;2507.50526315789;4056.34385964912;2856.22105263158;1735.11929824561;236.894834130393
-8709300;118800;3378.66183574879;4570.04347826087;3413.80193236715;3482.04830917874;4460.50241545894;3207.39130434783;1926.84057971014;224.460862776663
-8678700;234900;3133.58256880734;4426.81651376147;3190.03211009174;3265.30733944954;4332.07798165138;3156.62844036697;1921.56880733945;200.306861671466
-8587800;166950;2457.5250965251;3982.9111969112;2395.7027027027;2533.0694980695;4007.03474903475;2851.77992277992;1696.32818532819;238.260910835772
-8613900;99900;3727.40136054422;4466.10884353741;3706.85034013605;3754.82993197279;4388.78911564626;3162.42857142857;2002.43537414966;239.267167947285
-8661150;197550;3392.38495575221;4483.73451327434;3453.80530973451;3504.44247787611;4412.6814159292;3269.77876106195;2027.97787610619;214.458511517194
-8577000;185400;2410.96470588235;4014.28235294118;2386.62745098039;2505.2;4076.83137254902;2809.29019607843;1648.36862745098;239.322897512756
-8614350;49950;3879.85714285714;4799.74436090226;3909.35338345865;3969.82706766917;4628.55639097744;3420.9022556391;2172.87218045113;229.349849394373
-8710650;160200;3541.22110552764;4621.35175879397;3596.70854271357;3664.31155778894;4506.38190954774;3297.41708542714;2012.43718592965;205.179715605165
-8749350;175500;3499.11467889908;4906.33944954128;3545.07339449541;3629.84862385321;4777.67889908257;3636.33486238532;2275.71100917431;205.286361555594
-8672400;202050;3310.2752293578;4315.94495412844;3369.06880733945;3421.45412844037;4245.8119266055;3150.60091743119;1946.04587155963;209.099360487389
-8736750;263700;3687.87564766839;4771.86528497409;3738.10880829016;3802.18134715026;4524.9170984456;3229.40414507772;1958.53367875648;212.471698361715
-8736750;284400;2827.61574074074;3329.41666666667;2902.91666666667;2960.53240740741;3131.28703703704;2351.58796296296;1518.08333333333;201.441101141901
-8699400;143100;3741.49738219895;4893.43455497382;3775.9057591623;3854.1780104712;4724.86910994764;3454.31937172775;2124.31937172775;217.299910294254
-8673750;101250;3579.70658682635;4362.32934131737;3469.74251497006;3570.04191616766;4520.45508982036;3428.49700598802;2218.23952095808;239.773963586872
-8626500;228600;3759.59825327511;4830.34061135371;3742.6288209607;3853.72052401747;4667.05240174673;3348.9519650655;2011.52838427948;228.232254972499
-8649000;224550;4017.56;4871.42285714286;3999.12571428571;4092.14285714286;4646.68;3433.77714285714;2078.79428571429;222.792944098805
-8663400;187650;3471;4559.62443438914;3537.06787330317;3593.04977375566;4510.14479638009;3262.06334841629;1965.40271493213;210.222464036854
-8568900;172350;3154.28504672897;4655.52336448598;3099.52336448598;3252.70093457944;4657.11214953271;3267.17289719626;1940.08411214953;237.947811991825
-8694000;233550;3339.48325358852;4569.90909090909;3395.74162679426;3468.5023923445;4502.21052631579;3224.89473684211;1947.13875598086;213.798235211494
-8678700;139950;3756.0447761194;4798.61691542289;3770.4328358209;3839.46766169154;4655.9552238806;3366.92537313433;2079.94527363184;236.128964518539
-8671500;260100;3339.45493562232;4457.51072961373;3381.38626609442;3456.27467811159;4387.38626609442;3177.51931330472;1959.98283261803;218.007007984283
-8626950;91800;3048.13333333333;4726.32;3042.51555555556;3145.22222222222;4512.93333333333;3089.04444444444;1871.99555555556;240.593168464068
-8730000;183150;3449.58951965065;4716.45414847162;3526.26200873362;3581.09170305677;4581.51965065502;3381.7423580786;2102.93013100437;206.87864190947
-8570700;139950;3024.2303030303;4177.75151515152;3046.18787878788;3098.50303030303;4099.70909090909;2754.90909090909;1664.38787878788;230.957575031064
-8716950;201600;3258.0350877193;4399.72368421053;3328.43421052632;3386.70614035088;4342.86842105263;3212.62280701754;1990.30263157895;206.157787749192
-8595000;161550;2136.55438596491;3461.18245614035;2027.15438596491;2186.71228070175;3802.10175438596;2871.73684210526;1680.53684210526;235.38656714365
-8698500;274050;3351.98642533937;4686.19004524887;3402.90045248869;3488.50226244344;4402.56561085973;3098.17647058824;1854.46606334842;204.097733466696
-8711100;289350;2951.00425531915;3852.97021276596;2993.43404255319;3108.66808510638;3628.29787234043;2615.12340425532;1608.30212765957;201.417524625502
-8692200;215100;3288.17289719626;4525.89719626168;3333.13551401869;3410.07943925234;4444.94392523365;3284.94392523364;1998.14953271028;206.975353302615
-8577450;163350;2377.04938271605;4011.09053497942;2368.63374485597;2479.57201646091;4023.87654320988;2723.58024691358;1598.89711934156;239.403119483596
-8656200;116100;3118.27731092437;4740.90756302521;3050.97478991597;3194.84033613445;4766.24789915966;3391.44117647059;2081.26050420168;242.464614794311
-8656200;168300;4197.43229166667;5138.57291666667;4170.19791666667;4283.76041666667;4872.38020833333;3649.25;2253.42708333333;216.166894066562
-8692650;146700;4036.21341463415;4912.67073170732;4054.51219512195;4122.04268292683;4767.30487804878;3528.62195121951;2187.60365853659;227.62374959946
-8655300;180900;3928.70588235294;4816.62032085562;3934.46524064171;4017.35828877005;4611.28342245989;3419.26737967914;2090.76470588235;215.110894298963
-8653950;240300;3076.49159663866;4179.3025210084;3130.18067226891;3193.11344537815;4108.82352941176;2999.74789915966;1831.31512605042;207.335505862878
-8625600;157500;2177.22426470588;3551.15441176471;2108.68014705882;2271.52205882353;3735.08823529412;2715.28308823529;1631.44485294118;232.86736243984
-8676900;166950;3393.23043478261;4574.39565217391;3429.10869565217;3510.5652173913;4488.33043478261;3233.30869565217;1945.00434782609;215.492896294824
-8604900;77850;4135.41;4834.58;4144.38;4192.85;4718.55;3359.07;2142.19;240.071103838404
-8708400;171900;3272.54545454545;4479.45909090909;3339.76818181818;3397.82272727273;4407.59090909091;3241.90909090909;1986.10909090909;207.300754174825
-8675100;193950;3523.72850678733;4444.74660633484;3563.42533936652;3626.26696832579;4353.38009049774;3281.41176470588;2060.96832579186;212.02929150694
-8680500;253800;3369.29004329004;4572.54545454545;3424.93506493506;3494.90909090909;4465.82683982684;3230.1341991342;1987.7316017316;213.082434418209
-8734950;268650;3707.12565445026;4516.53926701571;3748.39790575916;3822.94764397906;4318.44502617801;3104.06806282723;1902.68062827225;204.529545441589
-8633250;239850;3820.22330097087;4816.54854368932;3808.78640776699;3902.2427184466;4603.6067961165;3341.21844660194;1989.87378640777;225.420555548345
-8704800;299250;2689.22907488987;2654.11013215859;2782.96916299559;2851.63436123348;2577.7268722467;2033.19823788546;1348.44933920705;201.413980853664
-8681400;124650;2752.46218487395;4293.7268907563;2768.84453781513;2865.14285714286;4184.96638655462;2914.23529411765;1752.05882352941;231.958650787732
-8619750;132750;2981.35426008969;4135.82959641256;2965.24215246637;3053.15695067265;4078.67713004484;2965.30493273543;1866.63677130045;235.248149053463
-8614800;241200;2849.70119521912;4223.35856573705;2855.58964143426;2955.47011952191;4228.06374501992;2917.00398406375;1729.32669322709;236.086631046973
-8630100;173250;3284.62595419847;4762.10305343511;3209.29389312977;3382.04580152672;4789.3893129771;3501.70610687023;2113.7786259542;237.953404187943
-8675100;135000;3355.52403846154;4697.66346153846;3359.89903846154;3460.27884615385;4613.94230769231;3254.09615384615;2036.59615384615;240.093866304992
-8639100;154800;2457.9557195572;4088.87822878229;2420.78966789668;2567.0036900369;4204.9963099631;3002.73431734317;1800.80811808118;236.921578393345
-8673300;156150;4112.24858757062;5099.3220338983;4111.12994350282;4201.9604519774;4895.94350282486;3538.90960451977;2134.26553672316;230.339023369122
-8632800;76500;3107.32460732984;4952.35078534031;3064.64397905759;3226.47643979058;4769.29319371728;3241.47120418848;1881.58638743456;238.886234566457
-8706150;135900;3476.785;4511.89;3515.555;3579.725;4414.955;3283.605;2027.63;215.098154664198
-8607600;75150;4279.08888888889;4977.76666666667;4246.91111111111;4321.36666666667;4761.24444444444;3389.5;2113.18888888889;237.267311412121
-8610750;217800;2437.43018867925;3955.10943396226;2425.31698113208;2559.74716981132;4041.35094339623;2756.47169811321;1579.84150943396;230.468563100021
-8670600;191700;3683.98952879581;4575.03141361257;3700.46596858639;3778.60732984293;4467.56544502618;3406.55497382199;2138.76963350785;213.248190417982
-8625150;216000;3252.39754098361;4425.54918032787;3271.3237704918;3353.02049180328;4330.47950819672;3131.02459016393;1899.36885245902;224.490538724075
-8703450;245250;3539.39523809524;4949.45238095238;3604.05714285714;3671.3;4765.59047619048;3349.36666666667;2008.18571428571;223.002483294947
-8581050;93150;4097.8137254902;4998.13725490196;4111.32352941176;4186.51960784314;4808.71568627451;3495.28431372549;2164.14705882353;229.446454731104
-8758800;150300;3819.05333333333;4898.42666666667;3828.24;3914.49333333333;4837.68888888889;3811.74666666667;2456.47555555556;215.117901303635
-8623800;131850;2441.58704453441;3965.32388663968;2374.87854251012;2532.02834008097;4060.28744939271;2904.97165991903;1712.61133603239;236.698773132754
-8592300;82800;3900.77477477477;4778.42342342342;3916.18018018018;3980.44144144144;4605.31531531532;3343.17117117117;2120.71171171171;235.831836405156
-8653500;159300;4152.30487804878;5062.50609756098;4102.89024390244;4221.51829268293;4903.68292682927;3606.99390243902;2263.42073170732;238.282460615752
-8615250;82800;2849.24489795918;4273.99319727891;2883.42176870748;2954.05442176871;4180.91156462585;2793.13605442177;1659;236.779387992651
-8590500;105300;3161.09941520468;4040.08771929825;3244.06432748538;3237.59064327485;3866.63742690058;2610.9298245614;1577.12280701754;234.04640094545
-8636850;80550;3174.48538011696;4324.67251461988;3163.76023391813;3232.75438596491;4251.14035087719;2938.44444444444;1818.0350877193;237.969898672404
-8757900;233100;3212.57971014493;4184.81642512077;3276.63285024155;3339.33816425121;3972.5845410628;2942.38647342995;1886.82125603865;202.464206467221
-8579700;157050;2358.76865671642;3767.12686567164;2293.42537313433;2425.47014925373;3895.17537313433;2839.2276119403;1697.23880597015;237.149598113768
-8620200;108900;3136.86637931034;4448.21120689655;3077.12931034483;3216.84913793103;4482.45689655172;3243.71551724138;1975.24137931034;237.327249566837
-8732700;187650;3530.9652173913;4783.21739130435;3599.03043478261;3660.87391304348;4683.19130434783;3473.55652173913;2155.90869565217;207.853407215497
-8634600;126450;3052.90557939914;4568.12446351931;2947.95278969957;3120.39055793991;4626.23175965665;3393.75107296137;2100.09871244635;243.137514734131
-8704350;290250;2953.2576419214;3356.30131004367;3028.40611353712;3087.73799126638;3254.3056768559;2402.9519650655;1541.17903930131;201.467128647129
-8767800;188100;3622.04716981132;5047.77830188679;3636.90094339623;3751.02830188679;4856.1320754717;3652.70283018868;2290.93396226415;207.665626817955
-8585100;164700;2437.47565543071;3964.52059925094;2393.07865168539;2523.57677902622;4070.69662921348;2833.42322097378;1691.16853932584;239.883677847494
-8750250;192600;3672.53913043478;4580.98260869565;3729.08260869565;3785.7347826087;4380.72608695652;3258.60434782609;2066.93913043478;205.573877544441
-8776800;191250;3551.86341463415;4843.19512195122;3597.05365853659;3682.20975609756;4631.98048780488;3484.86341463415;2218.08780487805;206.490019904422
-8618850;158400;2840.79710144928;4227.72101449275;2748.78260869565;2918.81884057971;4315.05072463768;3150.03260869565;1943.15942028986;238.553834324995
-8725950;128250;3235.78743961353;4418.71014492754;3307.82125603865;3364.02898550725;4343.76328502415;3211.59420289855;1934.4347826087;199.036950155163
-8729100;183600;3468.43805309735;4755.52654867257;3527.71238938053;3595.19026548673;4633.96017699115;3441.35840707965;2141.3407079646;209.564348055353
-8593650;172800;2911.85657370518;4298.18326693227;2849.66932270916;2986.13545816733;4346.01992031872;3090.38247011952;1882.65737051793;239.990586109686
-8594100;166950;2584.9022556391;3949.25563909774;2523.53007518797;2662.52631578947;4008.32330827068;2877.01503759398;1724.35338345865;233.415666426973
-8644950;211050;3008.57528957529;4526.09652509653;3033.72586872587;3143.50965250965;4512.3861003861;3222.28957528958;1894.78378378378;218.575787298469
-8788950;185400;3566.50462962963;4693.47685185185;3583.00462962963;3688.47222222222;4492.9537037037;3453.31018518519;2233.75462962963;206.862785664062
-8725950;258750;3524.15458937198;4804.95652173913;3603.00483091787;3657.2270531401;4627.17391304348;3264.86473429952;1954.52657004831;212.827985704333
-8685000;171900;3179.31279620853;4412.34597156398;3239.82938388626;3310.96208530806;4276.1990521327;3109.91943127962;1845.35071090047;198.488960545393
-8669700;223650;3345.70484581498;4397.45374449339;3396.64757709251;3462.37885462555;4292.69162995595;3132.34801762115;1893.76211453744;205.559280668342
-8646300;242550;3579.49763033175;4510.86255924171;3593.73933649289;3673.43127962085;4377.88151658768;3254.78672985782;1998.14691943128;213.343535007829
-8698950;135000;4340.41610738255;5287.07382550336;4332.6644295302;4432.61073825503;4970.85906040268;3646.79194630872;2219.87248322148;216.349051518824
-8693550;189000;3164.90950226244;4368.01809954751;3201.19909502262;3282.34841628959;4322.77375565611;3211.2036199095;1981.4479638009;207.40954216797
-8678250;103500;2727.39631336406;3758.48847926267;2642.40092165899;2737.72350230415;4036.97695852535;3005.51152073733;1867.55760368664;242.243386906411
-8640000;120150;3153.68122270742;4709.18340611354;3073.096069869;3227.60698689956;4693.4672489083;3465.16593886463;2203.35807860262;244.451252939391
-8606250;144000;2736.04329004329;4154.64935064935;2694.65367965368;2820.08225108225;4180.45887445887;2979.94805194805;1857.78787878788;236.520957483272
-8693550;178200;3397.02272727273;4607.83636363636;3451.25454545455;3524.11363636364;4485.66818181818;3332.8;2054.84090909091;203.60506782812
-8784450;191700;3433.41203703704;4373.1712962963;3468.02314814815;3542.93981481481;4217.99074074074;3280.76388888889;2172.34722222222;207.831620889484
-8689950;189450;3039.32126696833;4290.70135746606;3092.03167420814;3164.53846153846;4291.52488687783;3169.80090497738;1949.21266968326;211.74957863166
-8689950;274500;3348.17777777778;4538.51555555556;3378.65333333333;3474.54222222222;4378.08444444444;3150.68444444444;1932.65333333333;208.308684683356
-8616600;108900;3387.17256637168;4435.72566371681;3380.67256637168;3454.03097345133;4332.38938053097;3047.06637168142;1888.68584070796;238.277022119123
-8705700;210600;3531.1974248927;4808.63948497854;3584.41630901288;3656.30472103004;4630.48927038627;3403.11158798283;2087.06008583691;206.425538462822
-8587350;184950;2471.18382352941;3845.90808823529;2358.55882352941;2524.18014705882;4119.54044117647;3080.79044117647;1849.45955882353;238.906346420785
-8590500;71550;3278.82716049383;4420.33333333333;3346.17901234568;3397.28395061728;4253.16666666667;3029.42592592593;1858.67901234568;213.430172534406
-8735850;172350;3398.52863436123;4593.79295154185;3472.51982378855;3525.51982378855;4491.01762114537;3401.6563876652;2144.23788546255;204.23138814909
-8654400;231300;3169.46052631579;4240.58333333333;3213.71929824561;3284.05263157895;4175.10087719298;3047.85087719298;1860.41228070175;210.376100940787
-8632350;144000;2765.66176470588;4255.73161764706;2702.47794117647;2849.82352941176;4331.23161764706;3115.61764705882;1926.57352941176;240.575278224218
-8608500;96300;3320.4224137931;4394.87068965517;3328.30172413793;3399.77586206897;4329.79310344828;3000.16379310345;1871.39655172414;238.628041415891
-8755650;253350;3227.125;4223.52604166667;3301.171875;3357.18229166667;4031.79166666667;2955.0625;1886.71875;202.894726237646
-8773650;191250;3503;4834.45070422535;3543.220657277;3629.42723004695;4634.58685446009;3463.48356807512;2197.63849765258;210.680800337444
-8602200;131850;3046.19248826291;4385.88262910798;2960.54460093897;3116.24882629108;4345.06103286385;3128.57276995305;1943.779342723;237.487520211306
-8729550;145800;3244.36322869955;4503.34529147982;3325.16591928251;3383.95964125561;4384.10762331839;3253.86547085202;2000.83408071749;198.791287827966
-8586900;107550;3341.60843373494;4142.53012048193;3362.47590361446;3389.36746987952;4183.28915662651;2949.46987951807;1777.4578313253;236.787812467122
-8640900;113850;2938.93388429752;4609.5826446281;2888.96694214876;3031.61157024793;4589.26446280992;3238.54132231405;1972.59917355372;240.581036905698
-8615250;120600;2957.86147186147;4273.66233766234;2856.51515151515;3012.79220779221;4291.78787878788;3187.09956709957;1983.56277056277;237.651950200739
-8679150;102150;2826.69724770642;3974.15137614679;2809.41743119266;2889.14220183486;4028.27981651376;2905.73394495413;1811;237.389282996163
-8708400;292950;3100.07792207792;3298.42424242424;3178.08225108225;3237.47186147186;3188.73593073593;2428.12554112554;1570.25541125541;201.420873365241
-8732250;271350;3732.07936507937;4662.60846560847;3759.27513227513;3850.79365079365;4411.34391534392;3151.4708994709;1921.19576719577;205.469759805707
-8662950;94500;2941.4587628866;4899.35567010309;2872.54639175258;3060.29381443299;4892.26288659794;3393.76288659794;2074.71649484536;244.490726441817
-8719650;220500;3544.95475113122;4866.03167420814;3611.85520361991;3674.86425339366;4666.44796380091;3325.42081447964;2031.81900452489;215.765138540354
-8586450;171450;3131.06694560669;4606.82008368201;3025.72384937238;3197.92887029289;4646.8870292887;3424.36820083682;2112.65271966527;242.496906513631
-8721000;211050;3512.3201754386;4803.63157894737;3585.99122807018;3644.79824561404;4601.34649122807;3333.43859649123;2062.69736842105;208.177218772054
-8682750;202500;3196.99024390244;4299.25853658537;3258.10731707317;3318.80487804878;4212.2487804878;3054.84390243902;1875.67317073171;208.998657261425
-8630100;93600;3163.24285714286;4869.14285714286;3124.15714285714;3270.52380952381;4699.69047619048;3291.78095238095;2042.22857142857;241.497023178424
-8696250;288000;3160.84162895928;4082.45701357466;3200.46153846154;3305.80090497738;3858.80090497738;2751.2443438914;1706.76470588235;201.641247324542
-8781750;175050;3084.35211267606;4205.46948356807;3115.43192488263;3207.43192488263;4112.220657277;3137.78403755869;2051.78873239437;198.321561164992
-8628750;80550;3202.56643356643;4519.62937062937;3188.93706293706;3285.18181818182;4397.8951048951;2942.06993006993;1766.25174825175;239.523707309961
-8590050;100800;3796.25961538462;4634.19230769231;3788.78846153846;3850.46153846154;4395.91346153846;3194.125;2030.85576923077;236.346316273687
-8613000;195300;2427.75971731449;3666.72791519435;2343.24028268551;2484.21554770318;3925.93286219081;2965.52296819788;1789.85512367491;234.146049595743
-8688600;144900;3855.43157894737;4911.72105263158;3881.78947368421;3944.66315789474;4722.83684210526;3489.91578947368;2145.82631578947;226.763020523608
-8587350;183600;2446.53874538745;3923.09594095941;2352.9520295203;2517.16605166052;4132.17343173432;3007.60516605166;1765.16974169742;238.473854524016
-8724150;216450;3513.55251141553;4771.27397260274;3574.50228310502;3644.90867579909;4594.31506849315;3341.93150684932;2053.45205479452;206.170176492103
-8596800;52200;2636.8;4163.22222222222;2726.24444444444;2783.33888888889;4047.75;2739.92222222222;1619.84444444444;213.219984058864
-8640450;192150;4138.12322274882;5166.78672985782;4093.50710900474;4217.75355450237;4930.20853080569;3711.99526066351;2257.72985781991;222.021048291376
-8628300;98550;3189.04587155963;4639.41743119266;3124.3119266055;3266.07339449541;4586.20642201835;3263.15137614679;2050.4495412844;241.207688356595
-8614800;49050;3576.12592592593;4695.86666666667;3616.18518518519;3677.34074074074;4496.46666666667;3322.52592592593;2090.51851851852;222.208148949334
-8552700;175500;3864.63703703704;4632.14814814815;3856.93333333333;3910.5037037037;4491.39259259259;3152.57037037037;1965.73333333333;238.165257290788
-8756550;222750;3118.70776255708;4175.86757990868;3198.78538812785;3262.85844748858;3964.73515981735;2960.56621004566;1883.15068493151;200.505083810223
-8753400;247500;3764.65027322404;4772.20218579235;3779.15846994536;3863.50819672131;4571.84699453552;3454.39344262295;2181.48087431694;214.221354063958
-8660700;97650;3263.43636363636;5202.84090909091;3186.61818181818;3369.92727272727;5104.35909090909;3616.63181818182;2200.60909090909;243.570115683671
-8731350;174600;3297.40540540541;4616.43693693694;3376.87387387387;3430.47297297297;4516.48648648649;3303.04504504504;2027.97297297297;206.973748802235
-8689500;246150;3519.22119815668;4706.77880184332;3570.45161290323;3640.80184331797;4559.09216589862;3341.85714285714;2036.14285714286;206.442448134779
