"latitude";"longitude";"BiomasaPromedio"
-8601750;47700;188.525
-8601300;47700;188.091
-8600850;47700;187.566
-8600400;47700;186.966
-8599950;47700;186.348
-8599500;47700;185.937
-8599050;47700;185.532
-8598600;47700;185.084
-8598150;47700;184.594
-8597700;47700;184.071
-8597250;47700;183.525
-8596800;47700;182.966
-8596350;47700;182.404
-8595900;47700;181.843
-8595450;47700;181.238
-8595000;47700;180.333
-8594550;47700;179.435
-8594100;47700;178.652
-8593650;47700;177.951
-8593200;47700;177.29
-8592750;47700;176.639
-8592300;47700;175.917
-8591850;47700;175.177
-8591400;47700;174.423
-8590950;47700;173.69
-8590500;47700;173.012
-8590050;47700;172.41
-8589600;47700;171.891
-8589150;47700;171.443
-8588700;47700;171.109
-8588250;47700;170.906
-8587800;47700;170.831
-8587350;47700;170.873
-8586900;47700;171.016
-8586450;47700;171.242
-8586000;47700;171.531
-8585550;47700;171.865
-8585100;47700;172.228
-8584650;47700;172.605
-8584200;47700;172.988
-8583750;47700;173.37
-8583300;47700;173.748
-8582850;47700;174.117
-8582400;47700;174.477
-8581950;47700;174.827
-8581500;47700;175.169
-8626500;47250;199.947
-8626050;47250;199.875
-8625600;47250;199.758
-8625150;47250;199.592
-8624700;47250;199.375
-8624250;47250;199.108
-8623800;47250;198.792
-8623350;47250;198.428
-8622900;47250;198.019
-8622450;47250;197.567
-8622000;47250;197.08
-8621550;47250;196.567
-8621100;47250;196.05
-8620650;47250;195.592
-8620200;47250;195.272
-8619750;47250;195.114
-8619300;47250;195.13
-8618850;47250;195.256
-8618400;47250;195.427
-8617950;47250;195.617
-8617500;47250;195.814
-8617050;47250;196.01
-8616600;47250;196.185
-8616150;47250;196.319
-8615700;47250;196.41
-8615250;47250;196.514
-8614800;47250;196.615
-8614350;47250;196.726
-8613900;47250;196.857
-8613450;47250;197.01
-8613000;47250;197.175
-8612550;47250;197.27
-8612100;47250;197.083
-8611650;47250;196.823
-8611200;47250;196.588
-8610750;47250;196.352
-8610300;47250;195.993
-8609850;47250;195.683
-8609400;47250;195.47
-8608950;47250;195.322
-8608500;47250;195.205
-8608050;47250;195.089
-8607600;47250;194.941
-8607150;47250;194.71
-8606700;47250;194.333
-8606250;47250;193.777
-8605800;47250;193.09
-8605350;47250;192.358
-8604900;47250;191.668
-8604450;47250;191.08
-8604000;47250;190.607
-8603550;47250;190.235
-8603100;47250;189.939
-8602650;47250;189.678
-8602200;47250;189.398
-8601750;47250;189.04
-8601300;47250;188.569
-8600850;47250;187.997
-8600400;47250;187.37
-8599950;47250;186.759
-8599500;47250;186.224
-8599050;47250;185.727
-8598600;47250;185.224
-8598150;47250;184.7
-8597700;47250;184.156
-8597250;47250;183.594
-8596800;47250;183.02
-8596350;47250;182.435
-8595900;47250;181.829
-8595450;47250;181.156
-8595000;47250;180.37
-8594550;47250;179.552
-8594100;47250;178.782
-8593650;47250;178.066
-8593200;47250;177.385
