"latitude";"longitude"
-8666550;108450
-8666100;108900
-8666550;108900
-8666550;108000
-8666100;108000
-8667000;108450
-8667000;108000
-8666100;98100
-8667000;108900
-8666550;107550
-8665650;108450
-8667000;107550
-8666100;107550
-8666550;98100
-8666550;109350
-8667450;108450
-8667450;108000
-8665650;108000
-8665650;108900
-8666100;109350
-8666550;98550
-8667450;107550
-8666100;98550
-8666550;107100
-8667450;108900
-8667000;107100
-8667000;109350
-8666550;97650
-8666100;107100
-8648550;100350
-8665650;107550
-8641350;126000
-8667450;107100
-8667000;98100
-8666100;97650
-8667900;108000
-8637750;126000
-8667000;98550
-8648550;100800
-8667900;108450
-8667900;107550
-8648100;100350
-8667000;106650
-8666550;106650
-8667450;109350
-8667000;97650
-8667450;106650
-8667900;107100
-8637750;126450
-8648100;100800
-8665650;107100
-8667900;108900
-8666550;109800
-8666100;106650
-8647650;125100
-8666550;99000
-8662950;100800
-8649000;100800
-8666550;97200
-8637300;126000
-8649000;100350
-8667000;99000
-8665650;109350
-8638200;126000
-8667900;106650
-8667000;106200
-8667450;98550
-8667000;109800
-8668350;108000
-8667450;98100
-8668350;107550
-8638200;126450
-8667450;106200
-8666550;106200
-8648100;99900
-8666100;109800
-8666100;97200
-8648550;99900
-8641350;125550
-8648550;101250
-8668350;107100
-8668350;108450
-8637300;126450
-8658450;126900
-8667000;97200
-8641800;126000
-8665200;108000
-8667450;99000
-8667900;106200
-8637750;125550
-8665650;106650
-8647650;100350
-8665200;107550
-8649000;101250
-8640900;126000
-8637300;125550
-8666100;106200
-8648100;101250
-8668350;106650
-8667900;109350
-8667000;105750
-8667450;97650
-8667450;105750
-8647650;100800
-8648100;125100
-8641800;125550
-8666550;96750
-8663400;100800
-8665200;108450
-8666550;105750
-8641350;126450
-8667450;109800
-8658450;127350
-8668350;108900
-8667900;105750
-8665200;107100
-8648100;124650
-8667900;98550
-8638650;126000
-8668350;106200
-8666100;99000
-8638650;126450
-8649000;99900
-8649450;100800
-8640900;125550
-8636850;126000
-8643600;108000
-8666100;96750
-8647650;124650
-8667000;99450
-8638200;125550
-8665650;98100
-8667900;99000
-8643600;123300
-8662950;101250
-8667450;99450
-8636850;125550
-8668800;107550
-8649450;100350
-8667450;105300
-8665650;97650
-8668800;107100
-8668800;108000
-8667000;96750
-8643600;122850
-8667000;105300
-8643150;123300
-8667900;98100
-8637750;126900
-8665650;106200
-8649450;101250
-8666100;105750
-8638200;126900
-8663400;101250
-8647650;99900
-8668350;105750
-8667900;105300
-8666550;96300
-8648100;124200
-8668800;106650
-8648550;101700
-8666550;99450
-8643600;108450
-8611200;125100
-8643150;122850
-8667900;99450
-8667000;94500
-8666550;110250
-8637300;125100
-8649000;101700
-8666550;105300
-8647650;101250
-8666100;96300
-8665200;106650
-8668800;108450
-8641800;125100
-8647650;124200
-8636850;126450
-8667450;97200
-8665650;109800
-8641350;125100
-8668800;106200
-8636850;125100
-8665200;108900
-8666550;95850
-8667450;104850
-8666550;94950
-8665650;97200
-8639100;126450
-8647650;125550
-8668350;99000
-8668350;105300
-8666550;94500
-8639100;126000
-8638650;126900
-8648100;123750
-8666550;95400
-8638650;125550
-8667900;104850
-8668350;98550
-8667000;94950
-8667000;110250
-8667000;104850
-8667000;96300
-8666100;95850
-8666100;110250
-8643600;120600
-8643150;123750
-8636400;125550
-8648100;101700
-8668350;99450
-8667000;94050
-8647650;123750
-8668800;105750
-8637750;125100
-8667450;99900
-8658900;126900
-8650350;111150
-8648100;123300
-8637300;126900
-8650350;111600
-8611200;125550
-8668350;109350
-8666100;95400
-8640450;126000
-8648550;124200
-8667000;95400
-8648550;124650
-8666100;105300
-8649450;101700
-8642700;123300
-8667900;99900
-8636400;126000
-8667000;95850
-8668350;104850
-8665650;105750
-8667450;104400
-8667900;104400
-8643150;108000
-8666100;94950
-8665650;96750
-8636400;125100
-8667900;109800
-8649450;99900
-8640450;125550
-8666550;104850
-8642250;125550
-8667900;97650
-8647200;100350
-8647200;100800
-8667000;99900
-8644050;120600
-8650800;111150
-8647650;123300
-8643600;123750
-8641800;126450
-8648550;123750
-8670600;98550
-8642700;123750
-8643150;108450
-8644050;108000
-8667900;103950
-8657550;115650
-8648100;122850
-8668800;105300
-8650800;111600
-8642250;125100
-8639100;126900
-8649900;100800
-8658900;127350
-8668350;99900
-8668800;99000
-8639550;126000
-8662950;100350
-8668800;108900
-8649900;101250
-8667000;104400
-8637300;124650
-8668350;98100
-8658000;126900
-8639550;126450
-8636850;124650
-8642700;122850
-8648550;123300
-8663400;100350
-8639100;125550
-8665650;96300
-8665200;106200
-8668800;99450
-8670600;98100
-8669250;107100
-8665650;98550
-8668350;104400
-8667450;103950
-8668800;98550
-8667900;103500
-8669250;107550
-8647650;122850
-8640900;125100
-8669250;106650
