idfarm,name,lon4326,lat4326,lat3857,lon3857,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,general
207,Estación FranciscoPizarro,2.033333,-78.666667,-8757000,226350,188.27,0.00,318.21,270.43,0.00,0.00,0.00,0.00,934.75,1108.41,1390.22,254.09,
221,Estación Mosquera,2.655,-78.333333,-8719650,295650,0.00,0.00,0.00,0.00,0.00,0.00,1268.77,0.00,1146.53,1469.20,389.81,395.63,
210,Estación Ricaurte,1.186944,-77.975833,-8680050,131850,326.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1146.53,910.74,288.77,407.90,
206,Estación Tumaco,1.783333,-78.866667,-8779050,198450,0.00,0.00,1460.42,0.00,0.00,0.00,1041.26,0.00,1017.54,1353.16,293.76,279.79,
178,GranjaArboleda,1.45452,-77.10992,-8583750,161550,0.00,0.00,0.00,0.00,0.00,38.45,30.06,28.82,67.99,0.00,0.00,0.00,
199,GranjaBarbacoas,1.361483333,-78.18173,-8703000,151200,0.00,0.00,0.00,0.00,0.00,27.60,31.61,24.93,26.27,26.34,0.00,0.00,
173,GranjaBelen,1.586357,-77.023329,-8573850,176400,0.00,0.00,0.00,0.00,0.00,58.79,930.38,38.19,27.22,9.59,3.23,0.00,
1,GRANJA BETANIA,1.186317,-77.257028,-8599950,131850,29.66,0.00,0.00,0.00,0.00,100.64,34.43,20.37,29.78,33.72,25.08,41.35,
179,GranjaBuesaco,1.35932,-77.04079,-8576100,151200,0.00,0.00,0.00,0.00,0.00,3.42,3.42,3.58,3.49,0.00,0.00,0.00,
201,GranjaCatambuco,1.166761,-77.290397,-8603550,129600,0.00,0.00,0.00,0.00,0.00,27.06,28.34,27.10,31.16,34.43,0.00,0.00,
192,GranjaCumbal,0.840806,-77.814972,-8662050,93600,0.00,0.00,0.00,0.00,0.00,31.37,22.28,49.74,31.35,0.00,31.09,35.29,
174,GranjaLaCruz,1.5955594,-76.9640701,-8567550,177300,0.00,0.00,0.00,0.00,0.00,15.94,31.48,32.97,35.74,37.43,24.29,0.00,
184,Granja La Florida,1.300711,-77.415234,-8617500,144450,0.00,0.00,0.00,0.00,0.00,1620.90,1620.90,1620.90,1620.90,1620.90,,,
202,GranjaObonuco,1.193458,-77.305556,-8605350,132750,0.00,0.00,0.00,0.00,0.00,32.74,34.29,31.17,37.98,0.00,0.00,0.00,
190,GranjaPupiales,0.867483,-77.624667,-8640900,96300,0.00,0.00,0.00,0.00,0.00,18.54,13.32,23.39,27.58,0.00,0.00,0.00,
172,GranjaSanJoseAlban,1.476187,-77.081584,-8580600,164250,0.00,0.00,0.00,0.00,0.00,5.54,4.36,4.10,6.33,6.51,0.00,0.00,
176,GranjaSanLorenzo,1.503858,-77.219125,-8595900,167400,0.00,0.00,0.00,0.00,0.00,46.85,34.08,49.43,43.18,38.87,33.31,0.00,
200,GranjaSantaBarbara,1.078422,-77.305544,-8605350,119700,0.00,0.00,0.00,0.00,0.00,38.45,38.90,36.16,1146.27,1251.14,0.00,0.00,
196,GranjaTuquerres,1.0926,-77.5897,-8636850,121500,0.00,0.00,0.00,0.00,0.00,33.04,33.28,32.67,38.49,30.81,32.93,,
183,GranjaYacuanquer,1.11354,-77.40561,-8616600,123750,0.00,0.00,0.00,0.00,0.00,21.83,20.64,20.15,21.16,21.29,54.70,17.22,
